 ===== energy eigen values =====
 ik =    1 (  0.500000  0.500000  0.500000 )
     -0.85225406     -0.85225402     -0.85225401     -0.85225398     -0.85225393
     -0.85225382     -0.85225376     -0.85225376     -0.85074951     -0.85074943
     -0.85074941     -0.85074938     -0.84759755     -0.84759755     -0.84759747
     -0.84759746     -0.84759740     -0.84759738     -0.84759716     -0.84759715
     -0.84235597     -0.84235596     -0.84235588     -0.84235587     -0.84235581
     -0.84235579     -0.84235556     -0.84235555     -0.84124990     -0.84124982
     -0.84124980     -0.84124977     -0.83865642     -0.83865638     -0.83865637
     -0.83865635     -0.83865629     -0.83865618     -0.83865613     -0.83865613
     -0.37698677     -0.37698674     -0.37698672     -0.37698664     -0.28167431
     -0.28167429     -0.28167428     -0.28167423     -0.09721485     -0.09721484
     -0.09721483     -0.09721482     -0.09721480     -0.09721477     -0.09721476
     -0.09721475     -0.06834574     -0.06834572     -0.06834571     -0.06834568
      0.05595237      0.05595238      0.05595239      0.05595239      0.05595241
      0.05595242      0.05595243      0.05595243      0.15218828      0.15218833
      0.15218835      0.15218837      0.23097857      0.23097858      0.23097858
      0.23097860      0.24031675      0.24031681      0.24031685      0.24031686
      0.25823220      0.25823221      0.25823221      0.25823221      0.25823222
      0.25823222      0.25823223      0.25823223      0.30502865      0.30502866
      0.30502867      0.30502867      0.30502868      0.30502869      0.30502870
      0.30502870      0.45510235      0.45510237      0.45510238      0.45510238
      0.52136194      0.52136197      0.52136198      0.52136199      0.53248339
      0.53248339      0.53248340      0.53248340      0.53248341      0.53248342
      0.53248343      0.53248343      0.56388012      0.56388012      0.56388012
      0.56388013      0.56388014      0.56388016      0.56388017      0.56388018
      0.64334630      0.64334640      0.64334646      0.64334649      0.64674582
      0.64674582      0.64674584      0.64674586      0.68517145      0.68517148
      0.68517148      0.68517149      0.69428975      0.69428976      0.69428976
      0.69428977      0.69428979      0.69428981      0.69428982      0.69428982
      0.74719270      0.74719270      0.74719271      0.74719273      0.74719274
      0.74719274      0.74719275      0.74719275      0.82499063      0.82499066
      0.82499068      0.82499075      0.82703824      0.82703825      0.82703826
      0.82703827      0.82703827      0.82703829      0.82703829      0.82703832
      0.83025489      0.83025491      0.83025492      0.83025492      0.83025494
      0.83025495      0.83025496      0.83025497      0.83144305      0.83144307
      0.83144308      0.83144308      0.83181214      0.83181222      0.83181225
      0.83181228      0.99195580      0.99201041      0.99214905      0.99250901
      1.03456077      1.03471567      1.03535226      1.03630227      1.03748937
      1.03997826      1.04235116      1.04621090      1.05789311      1.05918717
      1.05937459      1.05945404
 ===== energy eigen values =====
 ik =    2 (  0.500000  0.500000  0.166667 )
     -0.85273940     -0.85273937     -0.85273930     -0.85273921     -0.85255914
     -0.85255910     -0.85255899     -0.85255895     -0.84952744     -0.84952738
     -0.84952733     -0.84952731     -0.84745160     -0.84745150     -0.84745145
