 ===== energy eigen values =====
 ik =    1 (  0.250000  0.250000  0.250000 )
     -0.10037464     -0.10037463     -0.10037460     -0.09666288     -0.09666286
     -0.09666286     -0.09353967     -0.09353967     -0.08419467     -0.08419466
     -0.08419465     -0.06722804     -0.06722804     -0.06506280     -0.04815648
     -0.02986412     -0.02986371     -0.02986058     -0.02679445     -0.02679181
     -0.02678852     -0.02506496     -0.02506164     -0.02504185     -0.01644391
     -0.01635607     -0.01616195     -0.01338274     -0.01336544     -0.01320943
     -0.01238629     -0.01236457     -0.01229203      0.00158236      0.00159309
      0.00160143      0.00160806      0.00161315      0.00164364      0.00208357
      0.00271012      0.00316016      0.00797961      0.00802732      0.00813482
      0.00843379      0.00954870      0.01141034      0.01309666      0.01409118
      0.01814050
 ===== energy eigen values =====
 ik =    2 ( -0.250000 -0.250000  0.250000 )
     -0.85376708     -0.85376708     -0.85376707     -0.85376706     -0.85376706
     -0.85376704     -0.85366600     -0.85366600     -0.85366599     -0.85337414
     -0.85337413     -0.85337412     -0.85327424     -0.85327423     -0.85327422
     -0.85327421     -0.85327420     -0.85327419     -0.85326135     -0.85326134
     -0.85326133     -0.85326132     -0.85326131     -0.85326131     -0.85316605
     -0.85316603     -0.85316602     -0.85315894     -0.85315893     -0.85315891
     -0.85306597     -0.85306595     -0.85306595     -0.85289199     -0.85289197
     -0.85289196     -0.85289194     -0.85289193     -0.85289191     -0.85282147
     -0.85282147     -0.85282147     -0.85266856     -0.85266854     -0.85266853
     -0.85265069     -0.85265067     -0.85265067     -0.85254728     -0.85254727
     -0.85254726     -0.85252151     -0.85252150     -0.85252149     -0.85236687
     -0.85236687     -0.85231883     -0.85231882     -0.85231879     -0.85214266
     -0.85214264     -0.85214263     -0.85188132     -0.85188132     -0.85141870
     -0.85115578     -0.85115577     -0.85115576     -0.85065011     -0.85055475
     -0.85055475     -0.85055474     -0.85054263     -0.85054263     -0.85054263
     -0.85031063     -0.85031062     -0.85031061     -0.84977140     -0.84977139
     -0.84977138     -0.84977137     -0.84977136     -0.84977135     -0.84952694
     -0.84952693     -0.84952692     -0.84927545     -0.84927545     -0.84927544
     -0.84898078     -0.84898078     -0.84865270     -0.84865270     -0.84865269
     -0.84865269     -0.84865268     -0.84865267     -0.84843408     -0.84843406
     -0.84843405     -0.84812494     -0.84812493     -0.84812492     -0.84804879
     -0.84804879     -0.84791688     -0.84791687     -0.84791687     -0.84773488
     -0.84773486     -0.84773485     -0.84757370     -0.84757368     -0.84757367
     -0.84745815     -0.84745815     -0.84745815     -0.84739261     -0.84739261
     -0.84739259     -0.84739258     -0.84739256     -0.84739255     -0.84733596
     -0.84733594     -0.84733593     -0.84726591     -0.84726590     -0.84726590
     -0.84686035     -0.84686034     -0.84686034     -0.84663043     -0.84663042
     -0.84663041     -0.84663040     -0.84663040     -0.84663038     -0.84659505
     -0.84659503     -0.84659502     -0.84610825     -0.84610824     -0.84610822
     -0.84610822     -0.84610820     -0.84610820     -0.84606184     -0.84606183
     -0.84606183     -0.84606182     -0.84606181     -0.84606181     -0.84600124
     -0.84600123     -0.84600123     -0.84582872     -0.84582870     -0.84582869
     -0.84516668     -0.84516667     -0.84516666     -0.84516665     -0.84516664
     -0.84516663     -0.84506733     -0.84506732     -0.84506732     -0.84434383
     -0.84434382     -0.84434380     -0.84434380     -0.84434378     -0.84434377
     -0.84433495     -0.84433494     -0.84433493     -0.84433492     -0.84433492
     -0.84433490     -0.84421118     -0.84421118     -0.84421118     -0.84414149
     -0.84414146     -0.84414145     -0.84406793     -0.84406793     -0.84406793
     -0.84400770     -0.84400769     -0.84400768     -0.84329803     -0.84329803
     -0.84329803     -0.84303026     -0.84303025     -0.84303025     -0.84302459
     -0.84302459     -0.84302458     -0.84302457     -0.84302457     -0.84302456
     -0.84301621     -0.84301619     -0.84301618     -0.84293492     -0.84293491
     -0.84293489     -0.84293488     -0.84293487     -0.84293485     -0.84287609
     -0.84287607     -0.84287605     -0.84264078     -0.84264076     -0.84264075
     -0.84257221     -0.84257220     -0.84257220     -0.84242838     -0.84242838
     -0.84228931     -0.84228930     -0.84228929     -0.84205649     -0.84205647
     -0.84205647     -0.84205646     -0.84205645     -0.84205644     -0.84188995
     -0.84188994     -0.84188993     -0.84185386     -0.84185385     -0.84185384
     -0.84152523     -0.84152521     -0.84152520     -0.84136989     -0.84136989
     -0.84134713     -0.84134713     -0.84134712     -0.84133309     -0.84072614
     -0.84072614     -0.84072613     -0.84055262     -0.84046467     -0.84046466
     -0.84046466     -0.83994184     -0.83994184     -0.83945640     -0.83945638
     -0.83945637     -0.83923507     -0.83923506     -0.83923504     -0.83916528
     -0.83916527     -0.83916526     -0.83903695     -0.83903695     -0.83891070
     -0.83891069     -0.83891068     -0.83890494     -0.83890493     -0.83890492
     -0.83877051     -0.83877049     -0.83877048     -0.83857023     -0.83857022
     -0.83857022     -0.83856427     -0.83856426     -0.83856425     -0.83856423
     -0.83856422     -0.83856419     -0.83856053     -0.83856051     -0.83856050
     -0.83852949     -0.83852947     -0.83852945     -0.83847571     -0.83847570
     -0.83847569     -0.83838604     -0.83838604     -0.83838602     -0.83838601
