  No.   E(hr.)        dos(hr.)         E(eV)          dos(eV)              sum
    866  -0.77620      0.0000000000    -19.328255      0.0000000000      639.9999999999
    876  -0.77520      0.0000000000    -19.301043      0.0000000000      639.9999999999
    886  -0.77420      0.0000000000    -19.273832      0.0000000000      639.9999999999
    896  -0.77320      0.0000000000    -19.246620      0.0000000000      639.9999999999
    906  -0.77220      0.0000000000    -19.219409      0.0000000000      639.9999999999
    916  -0.77120      0.0000000000    -19.192198      0.0000000000      639.9999999999
    926  -0.77020      0.0000000000    -19.164986      0.0000000000      639.9999999999
    936  -0.76920      0.0000000000    -19.137775      0.0000000000      639.9999999999
    946  -0.76820      0.0000000000    -19.110564      0.0000000000      639.9999999999
    956  -0.76720      0.0000000000    -19.083352      0.0000000000      639.9999999999
    966  -0.76620      0.0000000000    -19.056141      0.0000000000      639.9999999999
    976  -0.76520      0.0000000000    -19.028929      0.0000000000      639.9999999999
    986  -0.76420      0.0000000000    -19.001718      0.0000000000      639.9999999999
    996  -0.76320      0.0000000000    -18.974507      0.0000000000      639.9999999999
   1006  -0.76220      0.0000000000    -18.947295      0.0000000000      639.9999999999
   1016  -0.76120      0.0000000000    -18.920084      0.0000000000      639.9999999999
   1026  -0.76020      0.0000000000    -18.892872      0.0000000000      639.9999999999
   1036  -0.75920      0.0000000000    -18.865661      0.0000000000      639.9999999999
   1046  -0.75820      0.0000000000    -18.838450      0.0000000000      639.9999999999
   1056  -0.75720      0.0000000000    -18.811238      0.0000000000      639.9999999999
   1066  -0.75620      0.0000000000    -18.784027      0.0000000000      639.9999999999
   1076  -0.75520      0.0000000000    -18.756815      0.0000000000      639.9999999999
   1086  -0.75420      0.0000000000    -18.729604      0.0000000000      639.9999999999
   1096  -0.75320      0.0000000000    -18.702393      0.0000000000      639.9999999999
   1106  -0.75220      0.0000000000    -18.675181      0.0000000000      639.9999999999
   1116  -0.75120      0.0000000000    -18.647970      0.0000000000      639.9999999999
   1126  -0.75020      0.0000000000    -18.620758      0.0000000000      639.9999999999
   1136  -0.74920      0.0000000000    -18.593547      0.0000000000      639.9999999999
   1146  -0.74820      0.0000000000    -18.566336      0.0000000000      639.9999999999
   1156  -0.74720      0.0000000000    -18.539124      0.0000000000      639.9999999999
   1166  -0.74620      0.0000000000    -18.511913      0.0000000000      639.9999999999
   1176  -0.74520      0.0000000000    -18.484701      0.0000000000      639.9999999999
   1186  -0.74420      0.0000000000    -18.457490      0.0000000000      639.9999999999
   1196  -0.74320      0.0000000000    -18.430279      0.0000000000      639.9999999999
   1206  -0.74220      0.0000000000    -18.403067      0.0000000000      639.9999999999
   1216  -0.74120      0.0000000000    -18.375856      0.0000000000      639.9999999999
   1226  -0.74020      0.0000000000    -18.348644      0.0000000000      639.9999999999
   1236  -0.73920      0.0000000000    -18.321433      0.0000000000      639.9999999999
   1246  -0.73820      0.0000000000    -18.294222      0.0000000000      639.9999999999
   1256  -0.73720      0.0000000000    -18.267010      0.0000000000      639.9999999999
   1266  -0.73620      0.0000000000    -18.239799      0.0000000000      639.9999999999
   1276  -0.73520      0.0000000000    -18.212587      0.0000000000      639.9999999999
   1286  -0.73420      0.0000000000    -18.185376      0.0000000000      639.9999999999
   1296  -0.73320      0.0000000000    -18.158165      0.0000000000      639.9999999999
   1306  -0.73220      0.0000000000    -18.130953      0.0000000000      639.9999999999
   1316  -0.73120      0.0000000000    -18.103742      0.0000000000      639.9999999999
   1326  -0.73020      0.0000000000    -18.076530      0.0000000000      639.9999999999
   1336  -0.72920      0.0000000000    -18.049319      0.0000000000      639.9999999999
   1346  -0.72820      0.0000000000    -18.022108      0.0000000000      639.9999999999
   1356  -0.72720      0.0000000000    -17.994896      0.0000000000      639.9999999999
   1366  -0.72620      0.0000000000    -17.967685      0.0000000000      639.9999999999
   1376  -0.72520      0.0000000000    -17.940473      0.0000000000      639.9999999999
   1386  -0.72420      0.0000000000    -17.913262      0.0000000000      639.9999999999
   1396  -0.72320      0.0000000000    -17.886051      0.0000000000      639.9999999999
   1406  -0.72220      0.0000000000    -17.858839      0.0000000000      639.9999999999
   1416  -0.72120      0.0000000000    -17.831628      0.0000000000      639.9999999999
   1426  -0.72020      0.0000000000    -17.804417      0.0000000000      639.9999999999
   1436  -0.71920      0.0000000000    -17.777205      0.0000000000      639.9999999999
   1446  -0.71820      0.0000000000    -17.749994      0.0000000000      639.9999999999
   1456  -0.71720      0.0000000000    -17.722782      0.0000000000      639.9999999999
   1466  -0.71620      0.0000000000    -17.695571      0.0000000000      639.9999999999
   1476  -0.71520      0.0000000000    -17.668360      0.0000000000      639.9999999999
   1486  -0.71420      0.0000000000    -17.641148      0.0000000000      639.9999999999
   1496  -0.71320      0.0000000000    -17.613937      0.0000000000      639.9999999999
   1506  -0.71220      0.0000000000    -17.586725      0.0000000000      639.9999999999
   1516  -0.71120      0.0000000000    -17.559514      0.0000000000      639.9999999999
   1526  -0.71020      0.0000000000    -17.532303      0.0000000000      639.9999999999
