 ===== energy eigen values =====
 ik =    1 (  0.250000  0.250000  0.250000 )
     -0.84374323     -0.84364077     -0.84351509     -0.84344709     -0.84344696
     -0.84329907     -0.84329874     -0.84325465     -0.84302648     -0.84302633
     -0.84293538     -0.84280880     -0.84280802     -0.84276634     -0.84276615
     -0.84265897     -0.84265888     -0.84247933     -0.84247898     -0.84246140
     -0.84212366     -0.84212290     -0.84207456     -0.84185000     -0.84184767
     -0.84180768     -0.84176943     -0.84172924     -0.84171708     -0.84161813
     -0.84160953     -0.84160325     -0.84148238     -0.84148187     -0.84126299
     -0.84126258     -0.84124082     -0.84111183     -0.84105485     -0.84105481
     -0.84102638     -0.84102619     -0.84102373     -0.84083830     -0.84067483
     -0.84067440     -0.84059904     -0.84055613     -0.84053066     -0.84053047
     -0.84048208     -0.84048190     -0.84045840     -0.84040723     -0.84040704
     -0.84039093     -0.84031737     -0.84031310     -0.84031295     -0.84025512
     -0.84025441     -0.84020270     -0.84020251     -0.84014103     -0.84013973
     -0.84008564     -0.84005780     -0.83998613     -0.83997126     -0.83997099
     -0.83981195     -0.83981182     -0.83966919     -0.83964237     -0.83956597
     -0.83956473     -0.83941706     -0.83882842     -0.83882087     -0.83881984
     -0.83864017     -0.83863938     -0.83860674     -0.83858970     -0.83858880
     -0.42641194     -0.41379210     -0.41378951     -0.41175756     -0.40167551
     -0.40167357     -0.39902473     -0.39078033     -0.38799372     -0.38799211
     -0.38610226     -0.37890515     -0.37885164     -0.37884707     -0.37842402
     -0.37841264     -0.37777565     -0.37532564     -0.37532359     -0.36816832
     -0.36311292     -0.36311134     -0.35692049     -0.35121144     -0.35120411
     -0.35118085     -0.34909497     -0.34902317     -0.34901690     -0.34750798
     -0.34750593     -0.32547134     -0.30607642     -0.30607588     -0.30603096
     -0.30580605     -0.30571893     -0.30571109     -0.30277183     -0.30277166
     -0.29362026     -0.29128804     -0.29127825     -0.28466998     -0.28162548
     -0.28162468     -0.27725699     -0.27085200     -0.27084267     -0.27083705
     -0.26836409     -0.26836186     -0.26051375     -0.25529065     -0.25262181
     -0.25261689     -0.23625661     -0.23243247     -0.23242914     -0.20681352
     -0.19898079     -0.19898027     -0.16945628     -0.16878796     -0.16878621
     -0.16790092     -0.16759649     -0.16759597     -0.16590733     -0.16525825
     -0.16525597     -0.15776813     -0.15419255     -0.15396948     -0.15396856
     -0.15369507     -0.15369248     -0.15335617     -0.15130410     -0.15022924
     -0.15022784     -0.14148130     -0.14128806     -0.14128608     -0.14020466
     -0.14020214     -0.13947986     -0.13812470     -0.13648281     -0.13644150
     -0.13643902     -0.13447873     -0.13447546     -0.13224732     -0.13209066
     -0.13208505     -0.12765683     -0.12765572     -0.12437842     -0.12419351
     -0.12165977     -0.12165812     -0.11658912     -0.11631298     -0.11630278
     -0.11628010     -0.11598031     -0.11597242     -0.11235154     -0.11234945
     -0.10837028     -0.10791197     -0.10415338     -0.10415239     -0.10086778
     -0.10086386     -0.09825589     -0.09640142     -0.09639854     -0.08994729
     -0.08994525     -0.08986165     -0.08581244     -0.07504327     -0.07453397
     -0.07453082     -0.06217682     -0.05454976     -0.05454789     -0.04602382
     -0.03081218     -0.03081060     -0.02785790     -0.02753588     -0.02753256
     -0.02555761     -0.02502593     -0.02501773     -0.02161508     -0.01682154
     -0.01680135     -0.01673850     -0.01449185     -0.01447009     -0.01234708
     -0.00944424     -0.00942674     -0.00075423     -0.00003222      0.00002213
      0.00023974      0.00050326      0.00072943      0.00111292      0.00336919
      0.00415050      0.00473677      0.00642380      0.00667044      0.00767138
      0.00895469      0.01093922      0.01157366      0.01389513
 ===== energy eigen values =====
 ik =    2 ( -0.250000 -0.250000  0.250000 )
     -0.85693799     -0.85693646     -0.85692913     -0.85652742     -0.85652512
     -0.85634457     -0.85629172     -0.85628808     -0.85609115     -0.85604775
     -0.85604468     -0.85578328     -0.85568755     -0.85568075     -0.85565123
     -0.85557193     -0.85557023     -0.85552652     -0.85545684     -0.85544435
     -0.85544372     -0.85532872     -0.85528822     -0.85528754     -0.85527022
     -0.85523355     -0.85523138     -0.85512013     -0.85506408     -0.85506272
     -0.85503267     -0.85503116     -0.85500635     -0.85496860     -0.85496824
