 ===== energy eigen values =====
 ik =    1 (  0.250000  0.250000  0.250000 )
     -0.84758586     -0.84751256     -0.84751256     -0.84751051     -0.84740540
     -0.84733215     -0.84733214     -0.84723567     -0.84723567     -0.84719567
     -0.84699870     -0.84691431     -0.84691430     -0.84688175     -0.84685232
     -0.84675695     -0.84675694     -0.84667573     -0.84664454     -0.84664454
     -0.84649790     -0.84648835     -0.84648835     -0.84628576     -0.84628575
     -0.84624907     -0.84614210     -0.84614209     -0.84606944     -0.84606944
     -0.84604211     -0.84598312     -0.84592287     -0.84592287     -0.84579468
     -0.84579467     -0.84578779     -0.84575862     -0.84571808     -0.84571808
     -0.84547835     -0.84540088     -0.84536158     -0.84536158     -0.84528162
     -0.84528161     -0.84523412     -0.84509032     -0.84509032     -0.84506634
     -0.84505348     -0.84497365     -0.84497364     -0.84487920     -0.84487920
     -0.84477304     -0.84477304     -0.84474389     -0.84463461     -0.84454955
     -0.84454955     -0.84443535     -0.84437900     -0.84437899     -0.84432930
     -0.84432930     -0.84430022     -0.84422325     -0.84417145     -0.84417145
     -0.84406507     -0.84406506     -0.84403796     -0.84397841     -0.84397840
     -0.84388171     -0.84375669     -0.84375668     -0.84371715     -0.84365412
     -0.84365411     -0.84344252     -0.84340889     -0.84334769     -0.84334768
     -0.84320216     -0.84318592     -0.84318591     -0.84296305     -0.84292541
     -0.84292541     -0.84271712     -0.84271712     -0.84270500     -0.84270268
     -0.84260928     -0.84260928     -0.84243786     -0.84243754     -0.84243753
     -0.84214854     -0.84214854     -0.84210057     -0.84190439     -0.84190439
     -0.84189916     -0.84186750     -0.84180510     -0.84180509     -0.84176869
     -0.84176868     -0.84164846     -0.84164846     -0.84162092     -0.84146430
     -0.84140688     -0.84140687     -0.84130461     -0.84130461     -0.84123280
     -0.84118376     -0.84118376     -0.84117852     -0.84105671     -0.84070587
     -0.84070586     -0.84068256     -0.84065334     -0.84065334     -0.84064144
     -0.84051158     -0.84051158     -0.84049237     -0.84048839     -0.84043704
     -0.84043704     -0.84040780     -0.84035473     -0.84035473     -0.84016471
     -0.84016471     -0.84001672     -0.84001671     -0.83999738     -0.83993154
     -0.83993154     -0.83978277     -0.83975095     -0.83972427     -0.83972426
     -0.83961701     -0.83961701     -0.83948752     -0.83933709     -0.83928142
     -0.83928141     -0.83913541     -0.83868091     -0.83867074     -0.83867072
     -0.83850762     -0.83850761     -0.83847271     -0.83845536     -0.83845535
     -0.42623309     -0.41353184     -0.41353183     -0.41158877     -0.40138861
     -0.40138860     -0.39880850     -0.39043581     -0.38776873     -0.38776871
     -0.38591869     -0.37878993     -0.37878992     -0.37858224     -0.37818242
     -0.37818239     -0.37793257     -0.37489602     -0.37489596     -0.36779415
     -0.36281491     -0.36281489     -0.35660789     -0.35129389     -0.35116635
     -0.35116634     -0.34885853     -0.34885851     -0.34882904     -0.34710418
     -0.34710413     -0.32547137     -0.30612793     -0.30612792     -0.30593546
     -0.30588412     -0.30557696     -0.30557694     -0.30243062     -0.30243060
     -0.29338066     -0.29120995     -0.29120991     -0.28448553     -0.28164354
     -0.28164352     -0.27731798     -0.27082026     -0.27067855     -0.27067854
     -0.26825148     -0.26825146     -0.26040774     -0.25526434     -0.25260155
     -0.25260151     -0.23629117     -0.23244357     -0.23244355     -0.20721045
     -0.19901736     -0.19901734     -0.16925631     -0.16842241     -0.16842241
     -0.16758321     -0.16758320     -0.16751302     -0.16614248     -0.16532111
     -0.16532109     -0.15820097     -0.15398927     -0.15379173     -0.15379172
     -0.15355525     -0.15355524     -0.15317754     -0.15132629     -0.15024154
     -0.15024152     -0.14123630     -0.14109383     -0.14109382     -0.14020724
     -0.14020722     -0.13920050     -0.13790377     -0.13637432     -0.13603147
     -0.13603144     -0.13436331     -0.13436330     -0.13202927     -0.13184437
     -0.13184435     -0.12747411     -0.12747409     -0.12463266     -0.12406762
     -0.12149818     -0.12149818     -0.11648053     -0.11602816     -0.11602814
     -0.11593284     -0.11578417     -0.11578411     -0.11218928     -0.11218925
     -0.10852317     -0.10778907     -0.10379752     -0.10379748     -0.10074753
     -0.10074750     -0.09810976     -0.09622218     -0.09622217     -0.09194929
     -0.08999804     -0.08999803     -0.08560137     -0.07678201     -0.07469161
     -0.07469159     -0.06227435     -0.05566127     -0.05566124     -0.04584872
     -0.03069448     -0.03069448     -0.02762708     -0.02732176     -0.02732174
     -0.02537797     -0.02515362     -0.02515358     -0.02213549     -0.01669522
     -0.01663751     -0.01663750     -0.01426559     -0.01426557     -0.01241498
     -0.01017624     -0.01017619     -0.00095768     -0.00003429     -0.00003415
      0.00018334      0.00037220      0.00053451      0.00053460      0.00318055
      0.00318114      0.00448949      0.00653613      0.00660663      0.00661018
      0.00880364      0.00900390      0.01099384      0.01103603
 ===== energy eigen values =====
 ik =    2 ( -0.250000 -0.250000  0.250000 )
     -0.85696704     -0.85696703     -0.85695838     -0.85662659     -0.85662659
     -0.85653126     -0.85648529     -0.85648528     -0.85627041     -0.85622648
     -0.85622648     -0.85613633     -0.85598080     -0.85598079     -0.85591378
     -0.85581373     -0.85566503     -0.85566502     -0.85559901     -0.85559900
     -0.85557262     -0.85553746     -0.85544614     -0.85544231     -0.85544230
