  No.   E(hr.)        dos(hr.)         E(eV)          dos(eV)              sum
      6  -0.86080      0.0000000000    -21.233119      0.0000000000        0.0000000000
     16  -0.85980      0.0000000048    -21.205907      0.0000000002        0.0000000000
     26  -0.85880      0.0000048329    -21.178696      0.0000001776        0.0000000010
     36  -0.85780      0.0018824644    -21.151484      0.0000691793        0.0000004355
     46  -0.85680      0.2877287470    -21.124273      0.0105738326        0.0000760118
     56  -0.85580     17.4648696942    -21.097062      0.6418218895        0.0054355494
     66  -0.85480    429.4408635450    -21.069850     15.7816549058        0.1641875975
     76  -0.85380   4413.3424650448    -21.042639    162.1872850888        2.1955471181
     86  -0.85280  19820.5042875953    -21.015427    728.3898326399       13.9205397068
     96  -0.85180  41192.3515554673    -20.988216   1513.7904475169       46.0427866176
    106  -0.85080  43182.1303397002    -20.961005   1586.9134425027       90.5239226191
    116  -0.84980  30010.3180038560    -20.933793   1102.8584435149      126.4530499703
    126  -0.84880  26330.6183667731    -20.906582    967.6320252599      153.3850155395
    136  -0.84780  27678.2704476586    -20.879370   1017.1573077355      180.6688776612
    146  -0.84680  26930.4225517812    -20.852159    989.6744144744      207.8003695044
    156  -0.84580  33603.3973867397    -20.824948   1234.9016273000      237.4783627322
    166  -0.84480  45643.4696882839    -20.797736   1677.3659622858      278.0052542903
    176  -0.84380  45689.6281068655    -20.770525   1679.0622522639      325.0262646531
    186  -0.84280  37157.9368480342    -20.743313   1365.5284956055      365.8893834268
    196  -0.84180  36768.7718649143    -20.716102   1351.2269514666      401.9333570532
    206  -0.84080  41360.5951442557    -20.688891   1519.9732831149      441.4678977024
    216  -0.83980  36048.1467168150    -20.661679   1324.7444753699      480.9963519461
    226  -0.83880  28366.5163034294    -20.634468   1042.4498672197      511.8780110083
    236  -0.83780  37204.6160438527    -20.607256   1367.2439237872      543.9477239903
    246  -0.83680  43029.0354125086    -20.580045   1581.2873097476      586.0075893497
    256  -0.83580  26476.7086904390    -20.552834    973.0007436770      621.3481608926
    266  -0.83480   7632.4764218822    -20.525622    280.4882329377      636.5827209664
    276  -0.83380    962.0896978101    -20.498411     35.3561313983      639.7019109492
    286  -0.83280     50.3923069489    -20.471199      1.8518824492      639.9885359386
    296  -0.83180      1.0573086928    -20.443988      0.0388553636      639.9998157112
    306  -0.83080      0.0086640016    -20.416777      0.0003183961      639.9999988059
    316  -0.82980      0.0000272585    -20.389565      0.0000010017      639.9999999969
    326  -0.82880      0.0000000326    -20.362354      0.0000000012      639.9999999999
    336  -0.82780      0.0000000000    -20.335142      0.0000000000      639.9999999999
    346  -0.82680      0.0000000000    -20.307931      0.0000000000      639.9999999999
    356  -0.82580      0.0000000000    -20.280720      0.0000000000      639.9999999999
    366  -0.82480      0.0000000000    -20.253508      0.0000000000      639.9999999999
    376  -0.82380      0.0000000000    -20.226297      0.0000000000      639.9999999999
    386  -0.82280      0.0000000000    -20.199086      0.0000000000      639.9999999999
    396  -0.82180      0.0000000000    -20.171874      0.0000000000      639.9999999999
    406  -0.82080      0.0000000000    -20.144663      0.0000000000      639.9999999999
    416  -0.81980      0.0000000000    -20.117451      0.0000000000      639.9999999999
    426  -0.81880      0.0000000000    -20.090240      0.0000000000      639.9999999999
    436  -0.81780      0.0000000000    -20.063029      0.0000000000      639.9999999999
    446  -0.81680      0.0000000000    -20.035817      0.0000000000      639.9999999999
    456  -0.81580      0.0000000000    -20.008606      0.0000000000      639.9999999999
    466  -0.81480      0.0000000000    -19.981394      0.0000000000      639.9999999999
    476  -0.81380      0.0000000000    -19.954183      0.0000000000      639.9999999999
    486  -0.81280      0.0000000000    -19.926972      0.0000000000      639.9999999999
    496  -0.81180      0.0000000000    -19.899760      0.0000000000      639.9999999999
    506  -0.81080      0.0000000000    -19.872549      0.0000000000      639.9999999999
