 iteration, iteration_ionic, iteration_electronic
      4229       384        11
 Ionic System
  (natm)
        64
  (pos)
  0.6249999998714331D-01  0.6249999998714331D-01  0.6249999998714331D-01
  0.4375000000286803D+00  0.4375000000286803D+00  0.4375000000286803D+00
  0.6249999998714331D-01  0.3125000000148346D+00  0.3125000000148346D+00
  0.4375000000286803D+00  0.1875000000009890D+00  0.1875000000009890D+00
  0.3125000000148346D+00  0.6249999998714331D-01  0.3125000000148346D+00
  0.1875000000009890D+00  0.4375000000286803D+00  0.1875000000009890D+00
  0.3125000000148346D+00  0.3125000000148346D+00  0.6249999998714331D-01
  0.1875000000009890D+00  0.1875000000009890D+00  0.4375000000286803D+00
  0.6249999998714331D-01  0.6249999998714331D-01  0.5625000000029668D+00
  0.4375000000286803D+00  0.4375000000286803D+00  0.9375000000049448D+00
  0.6249999998714331D-01  0.3125000000148346D+00  0.8125000000306583D+00
  0.4375000000286803D+00  0.1875000000009890D+00  0.6874999999772535D+00
  0.3125000000148346D+00  0.6249999998714331D-01  0.8125000000306583D+00
  0.1875000000009890D+00  0.4375000000286803D+00  0.6874999999772535D+00
  0.3125000000148346D+00  0.3125000000148346D+00  0.5625000000029668D+00
  0.1875000000009890D+00  0.1875000000009890D+00  0.9375000000049448D+00
  0.6249999998714331D-01  0.5625000000029668D+00  0.6249999998714331D-01
  0.4375000000286803D+00  0.9375000000049448D+00  0.4375000000286803D+00
  0.6249999998714331D-01  0.8125000000306583D+00  0.3125000000148346D+00
  0.4375000000286803D+00  0.6874999999772535D+00  0.1875000000009890D+00
  0.3125000000148346D+00  0.5625000000029668D+00  0.3125000000148346D+00
  0.1875000000009890D+00  0.9375000000049448D+00  0.1875000000009890D+00
  0.3125000000148346D+00  0.8125000000306583D+00  0.6249999998714331D-01
  0.1875000000009890D+00  0.6874999999772535D+00  0.4375000000286803D+00
  0.6249999998714331D-01  0.5625000000029668D+00  0.5625000000029668D+00
  0.4375000000286803D+00  0.9375000000049448D+00  0.9375000000049448D+00
  0.6249999998714331D-01  0.8125000000306583D+00  0.8125000000306583D+00
  0.4375000000286803D+00  0.6874999999772535D+00  0.6874999999772535D+00
  0.3125000000148346D+00  0.5625000000029668D+00  0.8125000000306583D+00
  0.1875000000009890D+00  0.9375000000049448D+00  0.6874999999772535D+00
  0.3125000000148346D+00  0.8125000000306583D+00  0.5625000000029668D+00
  0.1875000000009890D+00  0.6874999999772535D+00  0.9375000000049448D+00
  0.5625000000029668D+00  0.6249999998714331D-01  0.6249999998714331D-01
  0.9375000000049448D+00  0.4375000000286803D+00  0.4375000000286803D+00
  0.5625000000029668D+00  0.3125000000148346D+00  0.3125000000148346D+00
  0.9375000000049448D+00  0.1875000000009890D+00  0.1875000000009890D+00
  0.8125000000306583D+00  0.6249999998714331D-01  0.3125000000148346D+00
  0.6874999999772535D+00  0.4375000000286803D+00  0.1875000000009890D+00
  0.8125000000306583D+00  0.3125000000148346D+00  0.6249999998714331D-01
  0.6874999999772535D+00  0.1875000000009890D+00  0.4375000000286803D+00
  0.5625000000029668D+00  0.6249999998714331D-01  0.5625000000029668D+00
  0.9375000000049448D+00  0.4375000000286803D+00  0.9375000000049448D+00
  0.5625000000029668D+00  0.3125000000148346D+00  0.8125000000306583D+00
  0.9375000000049448D+00  0.1875000000009890D+00  0.6874999999772535D+00
  0.8125000000306583D+00  0.6249999998714331D-01  0.8125000000306583D+00
  0.6874999999772535D+00  0.4375000000286803D+00  0.6874999999772535D+00
  0.8125000000306583D+00  0.3125000000148346D+00  0.5625000000029668D+00
  0.6874999999772535D+00  0.1875000000009890D+00  0.9375000000049448D+00
  0.5625000000029668D+00  0.5625000000029668D+00  0.6249999998714331D-01
  0.9375000000049448D+00  0.9375000000049448D+00  0.4375000000286803D+00
  0.5625000000029668D+00  0.8125000000306583D+00  0.3125000000148346D+00
  0.9375000000049448D+00  0.6874999999772535D+00  0.1875000000009890D+00
  0.8125000000306583D+00  0.5625000000029668D+00  0.3125000000148346D+00
  0.6874999999772535D+00  0.9375000000049448D+00  0.1875000000009890D+00
  0.8125000000306583D+00  0.8125000000306583D+00  0.6249999998714331D-01
  0.6874999999772535D+00  0.6874999999772535D+00  0.4375000000286803D+00
  0.5625000000029668D+00  0.5625000000029668D+00  0.5625000000029668D+00
  0.9375000000049448D+00  0.9375000000049448D+00  0.9375000000049448D+00
  0.5625000000029668D+00  0.8125000000306583D+00  0.8125000000306583D+00
  0.9375000000049448D+00  0.6874999999772535D+00  0.6874999999772535D+00
  0.8125000000306583D+00  0.5625000000029668D+00  0.8125000000306583D+00
  0.6874999999772535D+00  0.9375000000049448D+00  0.6874999999772535D+00
  0.8125000000306583D+00  0.8125000000306583D+00  0.5625000000029668D+00
  0.6874999999772535D+00  0.6874999999772535D+00  0.9375000000049448D+00
  (cps)
  0.1579917078000000D+01  0.1579917078000000D+01  0.1579917078000000D+01
  0.1105941954900000D+02  0.1105941954900000D+02  0.1105941954900000D+02
  0.1579917078000000D+01  0.7899585392000001D+01  0.7899585392000001D+01
  0.1105941954900000D+02  0.4739751235000000D+01  0.4739751235000000D+01
  0.7899585392000001D+01  0.1579917078000000D+01  0.7899585392000001D+01
  0.4739751235000000D+01  0.1105941954900000D+02  0.4739751235000000D+01
  0.7899585392000001D+01  0.7899585392000001D+01  0.1579917078000000D+01
  0.4739751235000000D+01  0.4739751235000000D+01  0.1105941954900000D+02
  0.1579917078000000D+01  0.1579917078000000D+01  0.1421925370500000D+02
  0.1105941954900000D+02  0.1105941954900000D+02  0.2369875617500000D+02
  0.1579917078000000D+01  0.7899585392000001D+01  0.2053892201900000D+02
  0.1105941954900000D+02  0.4739751235000000D+01  0.1737908786100000D+02
  0.7899585392000001D+01  0.1579917078000000D+01  0.2053892201900000D+02
  0.4739751235000000D+01  0.1105941954900000D+02  0.1737908786100000D+02
  0.7899585392000001D+01  0.7899585392000001D+01  0.1421925370500000D+02
  0.4739751235000000D+01  0.4739751235000000D+01  0.2369875617500000D+02
  0.1579917078000000D+01  0.1421925370500000D+02  0.1579917078000000D+01
  0.1105941954900000D+02  0.2369875617500000D+02  0.1105941954900000D+02
  0.1579917078000000D+01  0.2053892201900000D+02  0.7899585392000001D+01
  0.1105941954900000D+02  0.1737908786100000D+02  0.4739751235000000D+01
  0.7899585392000001D+01  0.1421925370500000D+02  0.7899585392000001D+01
  0.4739751235000000D+01  0.2369875617500000D+02  0.4739751235000000D+01
  0.7899585392000001D+01  0.2053892201900000D+02  0.1579917078000000D+01
  0.4739751235000000D+01  0.1737908786100000D+02  0.1105941954900000D+02
  0.1579917078000000D+01  0.1421925370500000D+02  0.1421925370500000D+02
  0.1105941954900000D+02  0.2369875617500000D+02  0.2369875617500000D+02
  0.1579917078000000D+01  0.2053892201900000D+02  0.2053892201900000D+02
  0.1105941954900000D+02  0.1737908786100000D+02  0.1737908786100000D+02
  0.7899585392000001D+01  0.1421925370500000D+02  0.2053892201900000D+02
  0.4739751235000000D+01  0.2369875617500000D+02  0.1737908786100000D+02
  0.7899585392000001D+01  0.2053892201900000D+02  0.1421925370500000D+02
  0.4739751235000000D+01  0.1737908786100000D+02  0.2369875617500000D+02
  0.1421925370500000D+02  0.1579917078000000D+01  0.1579917078000000D+01
  0.2369875617500000D+02  0.1105941954900000D+02  0.1105941954900000D+02
  0.1421925370500000D+02  0.7899585392000001D+01  0.7899585392000001D+01
  0.2369875617500000D+02  0.4739751235000000D+01  0.4739751235000000D+01
  0.2053892201900000D+02  0.1579917078000000D+01  0.7899585392000001D+01
  0.1737908786100000D+02  0.1105941954900000D+02  0.4739751235000000D+01
  0.2053892201900000D+02  0.7899585392000001D+01  0.1579917078000000D+01
  0.1737908786100000D+02  0.4739751235000000D+01  0.1105941954900000D+02
