 --- primitive lattice vectors ---
  25.2786732532   0.0000000000   0.0000000000
   0.0000000000  25.2786732532   0.0000000000
   0.0000000000   0.0000000000  25.2786732532
 --- Equilibrium position and mass of each atom---
 Natom=   64
     1   1.5799170780   1.5799170780   1.5799170780    51196.42125 Sn  
    25   0.1207751384 -0.0290741516  0.0135171437
    26   0.1207910210 -0.0290617121  0.0135748685
    27   0.1208139356 -0.0290809734  0.0134793720
    28   0.1208169103 -0.0291011318  0.0135750947
    29   0.1207817033 -0.0291182911  0.0135575890
    30   0.1207812022 -0.0290334356  0.0135004777
    31   0.1207939495 -0.0291014388  0.0135628793
    32   0.1208157333 -0.0290445954  0.0135137169
    33   0.1208983272 -0.0290815787  0.0134944012
    34   0.1207923999 -0.0291170993  0.0135342337
    35   0.1208141301 -0.0291075180  0.0135494005
    36   0.1208692950 -0.0290960505  0.0135043126
    37   0.1208228414 -0.0290229811  0.0135760799
    38   0.1208455778 -0.0291071110  0.0135957478
    39   0.1208604067 -0.0290649914  0.0135671584
    40   0.1208349987 -0.0290278155  0.0135866379
    41   0.1207983083 -0.0290925641  0.0135002990
    42   0.1208261812 -0.0290781176  0.0135382266
    43   0.1208553283 -0.0291155587  0.0135301274
    44   0.1207913862 -0.0291021396  0.0135706540
    45   0.1207656836 -0.0291067910  0.0135461738
    46   0.1208240407 -0.0290235352  0.0135904273
    47   0.1208228923 -0.0290558428  0.0136080653
    48   0.1208965226 -0.0290397317  0.0135542232
    49   0.1208578010 -0.0291246931  0.0135765915
    50   0.1207491144 -0.0290933617  0.0135687846
    51   0.1208244298 -0.0290971605  0.0135082765
    52   0.1208538148 -0.0290933224  0.0135448594
    53   0.1208177621 -0.0290652143  0.0135622566
    54   0.1208514850 -0.0290508642  0.0135750090
    55   0.1208195805 -0.0290932672  0.0135880339
    56   0.1208369671 -0.0290412604  0.0135577909
    57   0.1208265571 -0.0290581387  0.0135458015
    58   0.1207910869 -0.0291165299  0.0135028203
    59   0.1207564684 -0.0290938244  0.0136253905
    60   0.1207541339 -0.0290859302  0.0135443450
    61   0.1207820180 -0.0290293612  0.0136475794
    62   0.1207221503 -0.0290828717  0.0135838389
    63   0.1207572023 -0.0290320756  0.0136040222
    64   0.1207889148 -0.0290575805  0.0136349099
 n=     3 A   IR&R
     hbarW= -0.73532678E-07 Ha = -0.20009259E-05 eV; nu= -0.16138558E-01 cm^-1
     1  -0.0114223019  0.0102962403  0.1240694732
     2  -0.0114216760  0.0103058311  0.1240274209
     3  -0.0114121283  0.0103180002  0.1240413339
     4  -0.0114149525  0.0102989538  0.1240597280
     5  -0.0114255202  0.0103091384  0.1240605583
     6  -0.0114071431  0.0103107882  0.1240303945
     7  -0.0114021868  0.0102929982  0.1240378394
     8  -0.0114257032  0.0103173153  0.1240549238
     9  -0.0114262224  0.0103205914  0.1240542614
    10  -0.0113975436  0.0102895210  0.1240459652
    11  -0.0114240400  0.0102965394  0.1240672584
    12  -0.0114201447  0.0103133822  0.1240510670
    13  -0.0114170904  0.0103150300  0.1240450394
    14  -0.0114276649  0.0102908634  0.1240611036
    15  -0.0114134220  0.0103136515  0.1240454055
    16  -0.0114329056  0.0102926960  0.1240593091
    17  -0.0114219338  0.0103164978  0.1240388249
    18  -0.0114083602  0.0103216326  0.1240571525
    19  -0.0114224264  0.0103168861  0.1240618725
    20  -0.0114012341  0.0103132578  0.1240211758
    21  -0.0114081577  0.0103275215  0.1240281534
    22  -0.0114193076  0.0103046156  0.1240611181
    23  -0.0114314863  0.0103075756  0.1240443054
    24  -0.0114160507  0.0103133679  0.1240519768
    25  -0.0114078599  0.0103188234  0.1240657424
    26  -0.0114310512  0.0102986235  0.1240422332
    27  -0.0114356120  0.0103246227  0.1240558726
    28  -0.0114218363  0.0103043610  0.1240505931
    29  -0.0114084288  0.0102869101  0.1240514982
    30  -0.0114324860  0.0103205479  0.1240579262
    31  -0.0114193408  0.0103234247  0.1240548339
    32  -0.0114235964  0.0103084894  0.1240310490
    33  -0.0114333285  0.0103124879  0.1240272702
    34  -0.0114063725  0.0103127059  0.1240642556
    35  -0.0114070269  0.0102966078  0.1240547784
    36  -0.0114191180  0.0103170989  0.1240438901
    37  -0.0114132008  0.0103181028  0.1240409069
    38  -0.0114007967  0.0102875585  0.1240595937
    39  -0.0114186157  0.0103001646  0.1240377069
    40  -0.0114143734  0.0103009275  0.1240592389
    41  -0.0114089110  0.0103121076  0.1240770469
    42  -0.0114258250  0.0103030628  0.1240439608
    43  -0.0114067372  0.0102949080  0.1240456978
    44  -0.0114277766  0.0103103402  0.1240674371
    45  -0.0114323376  0.0103190476  0.1240618937
    46  -0.0114266032  0.0103073881  0.1240431458
    47  -0.0114175287  0.0103106357  0.1240617973
    48  -0.0114305703  0.0103082026  0.1240483532
    49  -0.0113917697  0.0102819027  0.1240484343
    50  -0.0114272102  0.0103246090  0.1240548128
    51  -0.0114130888  0.0103243377  0.1240350057
    52  -0.0114174427  0.0103154887  0.1240532123
    53  -0.0114058868  0.0103078742  0.1240566850
    54  -0.0114194803  0.0103299371  0.1240291355
    55  -0.0114144207  0.0103155297  0.1240483400
    56  -0.0114179304  0.0103170903  0.1240445038
    57  -0.0114238357  0.0103062301  0.1240360081
    58  -0.0114315790  0.0103266365  0.1240531485
    59  -0.0114208628  0.0102996055  0.1240564436
    60  -0.0114220393  0.0103220820  0.1240485229
    61  -0.0114132892  0.0103023632  0.1240337251
    62  -0.0114180094  0.0103013384  0.1240718537
    63  -0.0114219469  0.0103181234  0.1240502152
    64  -0.0114088474  0.0103020962  0.1240428892
 n=     4 A   IR&R
     hbarW=  0.24105453E-03 Ha =  0.65594273E-02 eV; nu=  0.52905354E+02 cm^-1
     1   0.0704148486  0.0173977495  0.0817797283
     2  -0.0834032761 -0.0036511004 -0.0827430668
     3   0.1053889280  0.0000844082  0.1081286030
     4  -0.0925316634 -0.0139908821 -0.1070111662
     5   0.0816199455 -0.0145077486  0.0665445487
     6  -0.0687514286  0.0006498623 -0.0654330737
     7  -0.0906966089  0.0040564290 -0.0907956927
     8   0.1035118050 -0.0180453344  0.0919557505
     9  -0.0705163452 -0.0175604137 -0.0815892831
    10   0.0833074642  0.0036120502  0.0826920752
    11  -0.1053645233 -0.0002058433 -0.1081419087
    12   0.0924775783  0.0140243328  0.1071744595
    13  -0.0815214761  0.0145557104 -0.0662074534
    14   0.0685952061 -0.0006557203  0.0653566119
    15   0.0906238219 -0.0040895501  0.0908506176
    16  -0.1036552370  0.0179316272 -0.0917189657
    17  -0.0706175680 -0.0175662260 -0.0817742859
    18   0.0835680136  0.0036968177  0.0828128134
    19  -0.1053003973 -0.0001857200 -0.1081280352
    20   0.0924529794  0.0140068086  0.1071076461
    21  -0.0815833944  0.0144666897 -0.0664230570
    22   0.0687207219 -0.0006226434  0.0654958657
    23   0.0905720519 -0.0041201030  0.0908519765
    24  -0.1033781627  0.0180805523 -0.0918496403
    25   0.0706018366  0.0175846556  0.0816107705
    26  -0.0833685334 -0.0037133358 -0.0826541359
    27   0.1054276166  0.0002164624  0.1081045884
    28  -0.0923583316 -0.0139601063 -0.1070104155
    29   0.0815388531 -0.0145063392  0.0663419410
    30  -0.0684799212  0.0007033157 -0.0653317110
    31  -0.0904518577  0.0041420155 -0.0907662447
    32   0.1034887395 -0.0180202076  0.0918466685
    33  -0.0706433747 -0.0174736992 -0.0816290441
    34   0.0834529677  0.0036739382  0.0826515726
    35  -0.1053587384 -0.0001167164 -0.1081668405
    36   0.0923710645  0.0140286301  0.1071006927
    37  -0.0815912462  0.0143977832 -0.0664376279
    38   0.0687118182 -0.0006332731  0.0653791484
    39   0.0905688578 -0.0041067841  0.0907493337
    40  -0.1035116813  0.0180081588 -0.0919531259
    41   0.0706991126  0.0175617861  0.0817946066
    42  -0.0834700640 -0.0036929752 -0.0828162254
    43   0.1053650358  0.0002610967  0.1080830241
    44  -0.0924681270 -0.0140216921 -0.1071192726
    45   0.0815916508 -0.0144107935  0.0664832253
    46  -0.0687037059  0.0006504868 -0.0656096228
    47  -0.0905791556  0.0040706578 -0.0909336894
    48   0.1034030012 -0.0179795049  0.0918416691
    49   0.0704824587  0.0174529766  0.0816706172
    50  -0.0832912137 -0.0036311061 -0.0827526463
    51   0.1054092429  0.0001682138  0.1081072227
    52  -0.0923904633 -0.0140376597 -0.1071104917
    53   0.0816107716 -0.0144699899  0.0663579868
    54  -0.0686971549  0.0006146686 -0.0655122694
    55  -0.0906392519  0.0039809799 -0.0908367713
    56   0.1035858448 -0.0179829436  0.0918399137
    57  -0.0705929710 -0.0174317036 -0.0817581519
    58   0.0833407615  0.0035770850  0.0827014678
    59  -0.1052032512 -0.0001371387 -0.1080651264
    60   0.0925099591  0.0140786802  0.1070569292
    61  -0.0815828752  0.0144540741 -0.0665728266
    62   0.0688306800 -0.0006357459  0.0654837998
    63   0.0906965471 -0.0040371125  0.0907602488
    64  -0.1035004495  0.0178625021 -0.0918796692
 n=     5 A   IR&R
     hbarW=  0.24120552E-03 Ha =  0.65635361E-02 eV; nu=  0.52938495E+02 cm^-1
     1  -0.1015166384 -0.0468785709 -0.0995171988
     2   0.1272391034  0.0420905999  0.0785522840
     3   0.0577283436 -0.0058158034  0.0703834377
     4  -0.0837474110  0.0105955386 -0.0495245072
     5  -0.0936904148 -0.0076655795 -0.0778090710
     6   0.0678916161  0.0122947895  0.0986380227
     7  -0.1174268230 -0.0240133179 -0.0505478700
     8   0.0915708346  0.0287376228  0.0711532657
     9   0.1014607025  0.0471061067  0.0995213323
    10  -0.1273394236 -0.0422205509 -0.0787001051
    11  -0.0578473352  0.0060631584 -0.0704546719
    12   0.0836939581 -0.0106619874  0.0492473460
    13   0.0937171411  0.0075791015  0.0775787063
    14  -0.0676949684 -0.0123222834 -0.0986853500
    15   0.1173028778  0.0238701292  0.0502608640
    16  -0.0917029727 -0.0287559632 -0.0715357623
    17   0.1016362167  0.0470029439  0.0996560638
    18  -0.1272841659 -0.0420806602 -0.0786882066
    19  -0.0578115923  0.0058712563 -0.0703343276
    20   0.0834434281 -0.0107219262  0.0493553570
    21   0.0934748809  0.0075820643  0.0777602459
    22  -0.0679203001 -0.0124462750 -0.0987337996
    23   0.1172687096  0.0238987469  0.0502730160
    24  -0.0916267069 -0.0286767060 -0.0711697331
    25  -0.1015221416 -0.0469190560 -0.0994481112
    26   0.1273578790  0.0419944232  0.0784760278
    27   0.0579517304 -0.0057706095  0.0704376363
    28  -0.0834586806  0.0108172654 -0.0493736493
    29  -0.0934435073 -0.0075049558 -0.0777791244
    30   0.0678317087  0.0125075500  0.0985611997
    31  -0.1172551552 -0.0238234332 -0.0503553376
    32   0.0916654957  0.0286571158  0.0712209627
    33   0.1015114791  0.0468540118  0.0995226467
    34  -0.1273449424 -0.0420752303 -0.0784727925
    35  -0.0580298951  0.0058246680 -0.0705010865
    36   0.0835247285 -0.0107215685  0.0494573956
    37   0.0935150247  0.0075932246  0.0778074017
    38  -0.0680406404 -0.0123558889 -0.0986410447
    39   0.1172372741  0.0239210992  0.0504983997
    40  -0.0917395297 -0.0286490525 -0.0713232511
    41  -0.1014922032 -0.0470059314 -0.0996007273
    42   0.1273631884  0.0420876495  0.0787927517
    43   0.0579420384 -0.0059680620  0.0703943473
    44  -0.0836445116  0.0108418124 -0.0493616394
    45  -0.0934695718 -0.0075374870 -0.0776104335
    46   0.0678937379  0.0125238010  0.0988283394
    47  -0.1174810535 -0.0238430713 -0.0503136546
    48   0.0916484555  0.0286582789  0.0714060599
    49  -0.1017643274 -0.0470240795 -0.0995846713
    50   0.1273009747  0.0421224217  0.0786190875
    51   0.0577668167 -0.0059889016  0.0703666311
    52  -0.0835899476  0.0106172535 -0.0492342558
    53  -0.0936777398 -0.0076501527 -0.0776563182
    54   0.0678336982  0.0123395519  0.0987295733
    55  -0.1172651662 -0.0239616824 -0.0502256698
    56   0.0916058867  0.0287273425  0.0713373727
    57   0.1015099979  0.0469306267  0.0995583558
    58  -0.1272473266 -0.0421257941 -0.0784490030
    59  -0.0575568755  0.0059233559 -0.0704276607
    60   0.0836752816 -0.0106426812  0.0495478011
    61   0.0937094818  0.0076232253  0.0779430416
    62  -0.0676638008 -0.0122856407 -0.0986941801
    63   0.1174097740  0.0238664732  0.0504152079
    64  -0.0916169728 -0.0287515565 -0.0711278497
 n=     6 A   IR&R
     hbarW=  0.24142340E-03 Ha =  0.65694647E-02 eV; nu=  0.52986312E+02 cm^-1
     1   0.0357769083  0.0795045417  0.0255209770
     2  -0.0204723751 -0.0860840486 -0.0346085156
     3   0.0609604092  0.1201722449  0.0407581557
     4  -0.0768827233 -0.1144732396 -0.0314308574
     5  -0.0952351819 -0.1108461664 -0.0461287437
     6   0.0792556450  0.1168598336  0.0558499694
     7   0.0386776496  0.0822774593  0.0498617086
     8  -0.0544430353 -0.0760802536 -0.0401633797
     9  -0.0360421833 -0.0800331108 -0.0258475751
    10   0.0205299387  0.0861257680  0.0354532436
    11  -0.0609365704 -0.1206835783 -0.0409250362
    12   0.0771138281  0.1145988073  0.0319683774
    13   0.0950499434  0.1108507102  0.0462885465
    14  -0.0788546690 -0.1169734856 -0.0551845704
    15  -0.0386596219 -0.0825536545 -0.0493545818
    16   0.0543365990  0.0759319219  0.0404792880
    17  -0.0364331297 -0.0800946458 -0.0255327793
    18   0.0206187154  0.0861293012  0.0351063866
    19  -0.0612693866 -0.1209786354 -0.0407809884
    20   0.0763354867  0.1143557041  0.0319175395
    21   0.0949212397  0.1104732063  0.0466369172
    22  -0.0798519030 -0.1170619171 -0.0554081257
    23  -0.0392242759 -0.0824335786 -0.0493422467
    24   0.0545941988  0.0760367744  0.0406275223
    25   0.0364840000  0.0794350042  0.0258604073
    26  -0.0209362420 -0.0861601329 -0.0348698152
    27   0.0612179699  0.1206213481  0.0409227124
    28  -0.0762169042 -0.1143394494 -0.0312567754
    29  -0.0947444466 -0.1104198476 -0.0457859532
    30   0.0795742150  0.1169719585  0.0556241198
    31   0.0392171445  0.0822866880  0.0499223442
    32  -0.0547557387 -0.0761816636 -0.0399607571
    33  -0.0365150875 -0.0796226974 -0.0259408704
    34   0.0209367606  0.0859981307  0.0347562395
    35  -0.0612227924 -0.1205987757 -0.0409014760
    36   0.0762845848  0.1142000756  0.0312743420
    37   0.0947317000  0.1105550585  0.0459690086
    38  -0.0795651142 -0.1171009201 -0.0557289021
    39  -0.0393225461 -0.0825663891 -0.0499882968
    40   0.0545606845  0.0761291172  0.0401124340
    41   0.0362250080  0.0800188056  0.0256328255
    42  -0.0207274256 -0.0862727788 -0.0350663402
    43   0.0612770303  0.1215571795  0.0408070926
    44  -0.0763597966 -0.1143860364 -0.0318624029
    45  -0.0950273290 -0.1105264669 -0.0467013040
    46   0.0801014937  0.1171960695  0.0552818289
    47   0.0392681844  0.0823015993  0.0492920932
    48  -0.0548971254 -0.0760522066 -0.0408824747
    49   0.0360617201  0.0800202904  0.0259125492
    50  -0.0207399895 -0.0860518065 -0.0352172089
    51   0.0609668366  0.1207689604  0.0408470654
    52  -0.0769036368 -0.1144548887 -0.0316921669
    53  -0.0950374486 -0.1109339107 -0.0463885197
    54   0.0791028796  0.1170172884  0.0551946539
    55   0.0387150033  0.0823259990  0.0494256022
    56  -0.0544235017 -0.0760200272 -0.0405902130
    57  -0.0358217733 -0.0796377602 -0.0256364472
    58   0.0202917806  0.0859573087  0.0345990662
    59  -0.0608569424 -0.1202401087 -0.0408455663
    60   0.0770058167  0.1143960263  0.0314233218
    61   0.0953221633  0.1109095557  0.0462139596
    62  -0.0792624540 -0.1169111287 -0.0559644043
    63  -0.0387550672 -0.0825146772 -0.0498320136
    64   0.0544045973  0.0760226155  0.0401644680
 n=     7 A   IR&R
     hbarW=  0.24168962E-03 Ha =  0.65767091E-02 eV; nu=  0.53044742E+02 cm^-1
     1   0.1261726680 -0.0690702745 -0.0270099642
     2   0.0507007895 -0.0849926550  0.0042235005
     3  -0.0867322342  0.0305063679  0.0132967782
     4  -0.0898206438  0.1230596505  0.0094005847
     5  -0.0578285227  0.0858223545  0.0041966366
     6  -0.1187794571  0.0678447453  0.0185920595
     7  -0.0823398041  0.1220092580  0.0008687317
     8  -0.0940488693  0.0317870473  0.0219329355
     9  -0.1260656212  0.0688541916  0.0270306413
    10  -0.0503559231  0.0850776789 -0.0041967823
    11   0.0870619210 -0.0307805147 -0.0135150835
    12   0.0900131366 -0.1230789672 -0.0092076533
    13   0.0578548030 -0.0858054525 -0.0039962657
    14   0.1190424950 -0.0679390426 -0.0186723121
    15   0.0827047469 -0.1220610284 -0.0008707472
    16   0.0941995080 -0.0318696013 -0.0217177132
    17  -0.1262358329  0.0688914443  0.0269264701
    18  -0.0504774491  0.0848621650 -0.0040673892
    19   0.0865980671 -0.0309764639 -0.0132235951
    20   0.0897383729 -0.1231404967 -0.0091396306
    21   0.0578502851 -0.0861010727 -0.0039966219
    22   0.1185086940 -0.0679885289 -0.0183193761
    23   0.0822800291 -0.1219437141 -0.0005254863
    24   0.0941909031 -0.0319659488 -0.0217591518
    25   0.1262522846 -0.0690712735 -0.0269183883
    26   0.0501696122 -0.0848106636  0.0045428785
    27  -0.0870104831  0.0308205248  0.0135267044
    28  -0.0897792248  0.1230590696  0.0093928424
    29  -0.0578827761  0.0860313113  0.0042361617
    30  -0.1187259790  0.0678790502  0.0188396162
    31  -0.0824738692  0.1219045597  0.0010184104
    32  -0.0942591086  0.0320183580  0.0219931585
    33  -0.1262186376  0.0691493674  0.0268766612
    34  -0.0502070929  0.0848619014 -0.0044702724
    35   0.0870487766 -0.0308707386 -0.0135012606
    36   0.0897684954 -0.1231779975 -0.0095078741
    37   0.0579096076 -0.0861497281 -0.0042726939
    38   0.1189255616 -0.0679935787 -0.0187438845
    39   0.0825538726 -0.1219804095 -0.0011353530
    40   0.0943379533 -0.0320189918 -0.0219901810
    41   0.1262928790 -0.0689505835 -0.0269953953
    42   0.0504887118 -0.0848675459  0.0040082998
    43  -0.0867766267  0.0312301912  0.0131912236
    44  -0.0896490105  0.1230826750  0.0092431328
    45  -0.0578855810  0.0860683423  0.0039885603
    46  -0.1184764485  0.0679720419  0.0182332145
    47  -0.0821793850  0.1218787504  0.0005780123
    48  -0.0942744971  0.0321084038  0.0215412494
    49   0.1262630390 -0.0688634005 -0.0268433059
    50   0.0503637885 -0.0849790162  0.0044243518
    51  -0.0868992061  0.0308455430  0.0134646163
    52  -0.0899031013  0.1230124687  0.0092397199
