 ===== energy eigen values =====
 ik =    3 ( -0.250000  0.250000 -0.250000 )
     -0.85191292     -0.85191286     -0.85191278     -0.85126218     -0.85126210
     -0.85126203     -0.85072054     -0.85072054     -0.84949901     -0.84823083
     -0.84823078     -0.84823074     -0.84681155     -0.84681155     -0.84521862
     -0.84521853     -0.84521847     -0.84441389     -0.84441386     -0.84441384
     -0.84360458     -0.84360456     -0.84360455     -0.84200792     -0.84200783
     -0.84200777     -0.84069704     -0.84069704     -0.84029699     -0.84029692
     -0.84029686     -0.83947431     -0.83783560     -0.83783560     -0.83710203
     -0.83710195     -0.83710189     -0.83645485     -0.83645479     -0.83645470
     -0.40963734     -0.36391586     -0.36391583     -0.36391578     -0.28353108
     -0.28353105     -0.28353103     -0.20721534     -0.15580543     -0.15580541
     -0.15580539     -0.12224306     -0.12224306     -0.12224305     -0.08130879
     -0.08130879     -0.05449628     -0.01428456     -0.01428455     -0.01428451
      0.04916200      0.04916200      0.05505861      0.05505863      0.05505864
      0.09265364      0.10301853      0.10301855      0.10301864      0.12096340
      0.12096341      0.12096342      0.17353848      0.19065221      0.19065221
      0.22589493      0.22589495      0.22589507      0.24937502      0.26460647
      0.26460650      0.26460659      0.26734746      0.26734747      0.26734748
      0.28975667      0.28975669      0.28975677      0.32913288      0.32913288
      0.32913289      0.36611690      0.36611690      0.41233300      0.41233303
      0.41233314      0.44061502      0.44061505      0.44061506      0.44214522
      0.45338268      0.45338268      0.45686054      0.46987342      0.46987344
      0.46987346      0.48535161      0.48535163      0.48535170      0.49604167
      0.49604168      0.49604169      0.51237950      0.51237954      0.51237971
      0.54201766      0.54201767      0.54201770      0.61798681      0.61798686
      0.61798708      0.61945089      0.61945090      0.61945091      0.64102787
      0.64102788      0.64102791      0.66173377      0.66173377      0.66226336
      0.69103537      0.69103540      0.69103552      0.70589047      0.70589048
      0.70589049      0.71680547      0.71680547      0.72055081      0.72055084
      0.72055085      0.73217234      0.73217235      0.73217240      0.74886970
      0.77395443      0.77752740      0.77752742      0.77752752      0.77814995
      0.77814995      0.79533817      0.79533821      0.79533835      0.83654950
      0.83654954      0.83654955      0.85802837      0.85802842      0.85802859
      0.89047366      0.90032069      0.90069893      0.90069901      0.91054008
      0.91054022      0.91054041      0.91110631      0.91110648      0.92964189
      0.93321351      0.93321425      0.93321897      0.93557567      0.93557612
      0.97196092      0.97196154      0.97196372      0.99277456      0.99950152
      0.99950716      0.99955198      1.00688284      1.00703488      1.00707644
      1.01094003      1.03529313      1.03665271      1.05777679      1.06079212
      1.06763286      1.09233937
 ===== energy eigen values =====
 ik =    4 ( -0.250000  0.250000  0.250000 )
     -0.85191292     -0.85191284     -0.85191280     -0.85126216     -0.85126212
     -0.85126204     -0.85072054     -0.85072054     -0.84949901     -0.84823082
     -0.84823079     -0.84823074     -0.84681155     -0.84681155     -0.84521860
     -0.84521856     -0.84521847     -0.84441389     -0.84441387     -0.84441384
     -0.84360458     -0.84360457     -0.84360455     -0.84200789     -0.84200786
     -0.84200777     -0.84069704     -0.84069704     -0.84029697     -0.84029694
     -0.84029686     -0.83947431     -0.83783560     -0.83783560     -0.83710201
     -0.83710197     -0.83710189     -0.83645485     -0.83645477     -0.83645472
     -0.40963734     -0.36391586     -0.36391582     -0.36391579     -0.28353108
     -0.28353105     -0.28353104     -0.20721534     -0.15580543     -0.15580541
     -0.15580540     -0.12224306     -0.12224306     -0.12224305     -0.08130880
     -0.08130879     -0.05449628     -0.01428456     -0.01428453     -0.01428452
      0.04916200      0.04916200      0.05505861      0.05505863      0.05505864
      0.09265364      0.10301854      0.10301858      0.10301861      0.12096340
      0.12096341      0.12096342      0.17353848      0.19065221      0.19065221
      0.22589494      0.22589499      0.22589503      0.24937502      0.26460648
      0.26460652      0.26460655      0.26734747      0.26734747      0.26734748
      0.28975667      0.28975671      0.28975673      0.32913288      0.32913288
      0.32913289      0.36611690      0.36611690      0.41233301      0.41233306
      0.41233310      0.44061503      0.44061504      0.44061506      0.44214522
      0.45338268      0.45338268      0.45686054      0.46987342      0.46987344
