 --- primitive lattice vectors ---
    23   0.0007964411  0.0147228689 -0.0000137459
    24  -0.0187446912  0.0521729039  0.0613441974
    25  -0.0212125801 -0.0035373198 -0.0028370846
    26   0.0230322026  0.0028730326 -0.0045702155
    27   0.0177431270 -0.0028037551 -0.0045025785
    28   0.1797228047 -0.1117121137 -0.1186515499
    29   0.0563785828  0.0706625471 -0.0289841636
    30   0.0522969642  0.0200872122 -0.0131810616
    31   0.0526915503 -0.0221337667  0.0629712653
    32   0.0502473581 -0.0120059484  0.0145462035
    33   0.0126797636 -0.0031927768 -0.0025132356
    34  -0.0306543993  0.0094252819 -0.0031497591
    35   0.1380464573 -0.0745220016 -0.0776072409
    36   0.0117417167  0.0149542215  0.0122547996
    37   0.0157757709 -0.0005377302 -0.0018725711
    38   0.0559756657  0.0660561798 -0.0143313293
    39   0.0144540747  0.0010054605  0.0012029423
    40   0.0494318061 -0.0195151072  0.0601220815
    41  -0.0032525647 -0.0228544054 -0.0028487221
    42   0.0036056056  0.0207238203 -0.0014483796
    43   0.0634681910  0.0528410558 -0.0243957811
    44   0.0213336162  0.0509467826 -0.0105373554
    45  -0.0038150568  0.0171823015 -0.0048082520
    46  -0.0922501433  0.1604584325 -0.0968634761
    47  -0.0198717475  0.0503272989  0.0583163050
    48  -0.0098492632  0.0495416857  0.0177006295
    49  -0.0032569640 -0.0036159308 -0.0182424999
    50  -0.0060985953 -0.0036947064  0.0278437813
    51   0.0783703693 -0.0318778247  0.0602641961
    52   0.0116026196 -0.0176869546  0.0531650366
    53  -0.0342176906  0.0808344287  0.0615151022
    54  -0.0180225173  0.0134486750  0.0537653013
    55  -0.0024326283 -0.0019334509  0.0189427151
    56  -0.1602186074 -0.1578601007  0.2213358898
    57   0.0166499143  0.0175297648  0.0148243165
    58   0.0037769458  0.0103958909  0.0072402266
    59  -0.0038667589  0.0207087348  0.0081099034
    60   0.0140576431  0.0110875204  0.0119052085
    61   0.0188124753 -0.0055886724  0.0102595642
    62  -0.0003439056  0.0006526265 -0.0115082624
    63   0.0122499664  0.0162972308 -0.0003899558
 n=     3 A   IR&R
     hbarW= -0.48427491E-03 Ha = -0.13177790E-01 eV; nu= -0.10628606E+03 cm^-1
     1   0.0100378395 -0.0049236656 -0.0053358952
     2   0.0550878068 -0.0126684859 -0.0144713791
     3   0.0136095392  0.0078611552  0.0074841232
     4   0.0082683723 -0.0096175754 -0.0115660219
     5   0.0039017014 -0.0060680234 -0.0118532787
     6   0.0430005937 -0.0024188687 -0.0304900853
     7   0.0033023615 -0.0119507475 -0.0065592570
     8   0.0425549144 -0.0290996376 -0.0027151413
     9  -0.0041323557  0.0020928642 -0.0093823819
    10   0.0677285447 -0.0531942611  0.0080462555
    11   0.0015109165 -0.0159055133  0.0053476920
    12   0.0241471260  0.0263113465  0.0126215734
    13   0.0123474775  0.0180934401 -0.0078530908
    14  -0.0229849125 -0.0340554886 -0.0499537011
    15   0.0348405644  0.0044515495 -0.0288449523
    16   0.0194634117 -0.0069496632 -0.0114299613
    17  -0.0041226628 -0.0086518869  0.0022258306
    18   0.0688054658  0.0073732429 -0.0553606935
    19   0.0005852149  0.0056319578 -0.0161902525
    20   0.0252418974  0.0147934885  0.0269865353
    21   0.0337619576 -0.0268437849  0.0027073753
    22   0.0193426256 -0.0105349943 -0.0078356619
    23   0.0130199256 -0.0079146380  0.0176368371
    24  -0.0237891772 -0.0494014397 -0.0345134234
    25  -0.0289707038  0.0023637370  0.0025518789
    26  -0.0464351991  0.0396460952  0.0376671551
    27  -0.0116751197 -0.0137495367 -0.0140770995
    28  -0.3979234973  0.4206240474  0.4188439390
    29  -0.0609985264 -0.1217619427  0.0703442708
    30  -0.0217957377  0.0453848003  0.0496620981
    31  -0.0619644743  0.0721228958 -0.1237055440
    32  -0.0221809852  0.0499919255  0.0440330402
    33   0.0171907481  0.0020334097  0.0021918682
