  No.   E(hr.)        dos(hr.)         E(eV)          dos(eV)              sum
    866  -0.77700      0.0000000000    -19.428937      0.0000000000      629.9999999999
    876  -0.77600      0.0000000000    -19.401725      0.0000000000      629.9999999999
    886  -0.77500      0.0000000000    -19.374514      0.0000000000      629.9999999999
    896  -0.77400      0.0000000000    -19.347303      0.0000000000      629.9999999999
    906  -0.77300      0.0000000000    -19.320091      0.0000000000      629.9999999999
    916  -0.77200      0.0000000000    -19.292880      0.0000000000      629.9999999999
    926  -0.77100      0.0000000000    -19.265668      0.0000000000      629.9999999999
    936  -0.77000      0.0000000000    -19.238457      0.0000000000      629.9999999999
    946  -0.76900      0.0000000000    -19.211246      0.0000000000      629.9999999999
    956  -0.76800      0.0000000000    -19.184034      0.0000000000      629.9999999999
    966  -0.76700      0.0000000000    -19.156823      0.0000000000      629.9999999999
    976  -0.76600      0.0000000000    -19.129611      0.0000000000      629.9999999999
    986  -0.76500      0.0000000000    -19.102400      0.0000000000      629.9999999999
    996  -0.76400      0.0000000000    -19.075189      0.0000000000      629.9999999999
   1006  -0.76300      0.0000000000    -19.047977      0.0000000000      629.9999999999
   1016  -0.76200      0.0000000000    -19.020766      0.0000000000      629.9999999999
   1026  -0.76100      0.0000000000    -18.993555      0.0000000000      629.9999999999
   1036  -0.76000      0.0000000000    -18.966343      0.0000000000      629.9999999999
   1046  -0.75900      0.0000000000    -18.939132      0.0000000000      629.9999999999
   1056  -0.75800      0.0000000000    -18.911920      0.0000000000      629.9999999999
   1066  -0.75700      0.0000000000    -18.884709      0.0000000000      629.9999999999
   1076  -0.75600      0.0000000000    -18.857498      0.0000000000      629.9999999999
   1086  -0.75500      0.0000000000    -18.830286      0.0000000000      629.9999999999
   1096  -0.75400      0.0000000000    -18.803075      0.0000000000      629.9999999999
   1106  -0.75300      0.0000000000    -18.775863      0.0000000000      629.9999999999
   1116  -0.75200      0.0000000000    -18.748652      0.0000000000      629.9999999999
   1126  -0.75100      0.0000000000    -18.721441      0.0000000000      629.9999999999
   1136  -0.75000      0.0000000000    -18.694229      0.0000000000      629.9999999999
   1146  -0.74900      0.0000000000    -18.667018      0.0000000000      629.9999999999
   1156  -0.74800      0.0000000000    -18.639806      0.0000000000      629.9999999999
   1166  -0.74700      0.0000000000    -18.612595      0.0000000000      629.9999999999
   1176  -0.74600      0.0000000000    -18.585384      0.0000000000      629.9999999999
   1186  -0.74500      0.0000000000    -18.558172      0.0000000000      629.9999999999
   1196  -0.74400      0.0000000000    -18.530961      0.0000000000      629.9999999999
   1206  -0.74300      0.0000000000    -18.503749      0.0000000000      629.9999999999
   1216  -0.74200      0.0000000000    -18.476538      0.0000000000      629.9999999999
   1226  -0.74100      0.0000000000    -18.449327      0.0000000000      629.9999999999
   1236  -0.74000      0.0000000000    -18.422115      0.0000000000      629.9999999999
   1246  -0.73900      0.0000000000    -18.394904      0.0000000000      629.9999999999
   1256  -0.73800      0.0000000000    -18.367692      0.0000000000      629.9999999999
   1266  -0.73700      0.0000000000    -18.340481      0.0000000000      629.9999999999
   1276  -0.73600      0.0000000000    -18.313270      0.0000000000      629.9999999999
   1286  -0.73500      0.0000000000    -18.286058      0.0000000000      629.9999999999
   1296  -0.73400      0.0000000000    -18.258847      0.0000000000      629.9999999999
   1306  -0.73300      0.0000000000    -18.231635      0.0000000000      629.9999999999
   1316  -0.73200      0.0000000000    -18.204424      0.0000000000      629.9999999999
   1326  -0.73100      0.0000000000    -18.177213      0.0000000000      629.9999999999
   1336  -0.73000      0.0000000000    -18.150001      0.0000000000      629.9999999999
   1346  -0.72900      0.0000000000    -18.122790      0.0000000000      629.9999999999
   1356  -0.72800      0.0000000000    -18.095578      0.0000000000      629.9999999999
   1366  -0.72700      0.0000000000    -18.068367      0.0000000000      629.9999999999
   1376  -0.72600      0.0000000000    -18.041156      0.0000000000      629.9999999999
   1386  -0.72500      0.0000000000    -18.013944      0.0000000000      629.9999999999
   1396  -0.72400      0.0000000000    -17.986733      0.0000000000      629.9999999999
   1406  -0.72300      0.0000000000    -17.959521      0.0000000000      629.9999999999
   1416  -0.72200      0.0000000000    -17.932310      0.0000000000      629.9999999999
   1426  -0.72100      0.0000000000    -17.905099      0.0000000000      629.9999999999
   1436  -0.72000      0.0000000000    -17.877887      0.0000000000      629.9999999999
   1446  -0.71900      0.0000000000    -17.850676      0.0000000000      629.9999999999
   1456  -0.71800      0.0000000000    -17.823464      0.0000000000      629.9999999999
   1466  -0.71700      0.0000000000    -17.796253      0.0000000000      629.9999999999
   1476  -0.71600      0.0000000000    -17.769042      0.0000000000      629.9999999999
   1486  -0.71500      0.0000000000    -17.741830      0.0000000000      629.9999999999
   1496  -0.71400      0.0000000000    -17.714619      0.0000000000      629.9999999999
   1506  -0.71300      0.0000000000    -17.687407      0.0000000000      629.9999999999
   1516  -0.71200      0.0000000000    -17.660196      0.0000000000      629.9999999999
   1526  -0.71100      0.0000000000    -17.632985      0.0000000000      629.9999999999
   1536  -0.71000      0.0000000000    -17.605773      0.0000000000      629.9999999999
   1546  -0.70900      0.0000000000    -17.578562      0.0000000000      629.9999999999
   1556  -0.70800      0.0000000000    -17.551351      0.0000000000      629.9999999999
   1566  -0.70700      0.0000000000    -17.524139      0.0000000000      629.9999999999
   1576  -0.70600      0.0000000000    -17.496928      0.0000000000      629.9999999999
   1586  -0.70500      0.0000000000    -17.469716      0.0000000000      629.9999999999
   1596  -0.70400      0.0000000000    -17.442505      0.0000000000      629.9999999999
   1606  -0.70300      0.0000000000    -17.415294      0.0000000000      629.9999999999
   1616  -0.70200      0.0000000000    -17.388082      0.0000000000      629.9999999999
   1626  -0.70100      0.0000000000    -17.360871      0.0000000000      629.9999999999
   1636  -0.70000      0.0000000000    -17.333659      0.0000000000      629.9999999999
   1646  -0.69900      0.0000000000    -17.306448      0.0000000000      629.9999999999
   1656  -0.69800      0.0000000000    -17.279237      0.0000000000      629.9999999999
   1666  -0.69700      0.0000000000    -17.252025      0.0000000000      629.9999999999
   1676  -0.69600      0.0000000000    -17.224814      0.0000000000      629.9999999999
   1686  -0.69500      0.0000000000    -17.197602      0.0000000000      629.9999999999
   1696  -0.69400      0.0000000000    -17.170391      0.0000000000      629.9999999999
   1706  -0.69300      0.0000000000    -17.143180      0.0000000000      629.9999999999
   1716  -0.69200      0.0000000000    -17.115968      0.0000000000      629.9999999999
   1726  -0.69100      0.0000000000    -17.088757      0.0000000000      629.9999999999
   1736  -0.69000      0.0000000000    -17.061545      0.0000000000      629.9999999999
   1746  -0.68900      0.0000000000    -17.034334      0.0000000000      629.9999999999
   1756  -0.68800      0.0000000000    -17.007123      0.0000000000      629.9999999999
   1766  -0.68700      0.0000000000    -16.979911      0.0000000000      629.9999999999
   1776  -0.68600      0.0000000000    -16.952700      0.0000000000      629.9999999999
   1786  -0.68500      0.0000000000    -16.925488      0.0000000000      629.9999999999
   1796  -0.68400      0.0000000000    -16.898277      0.0000000000      629.9999999999
   1806  -0.68300      0.0000000000    -16.871066      0.0000000000      629.9999999999
   1816  -0.68200      0.0000000000    -16.843854      0.0000000000      629.9999999999
   1826  -0.68100      0.0000000000    -16.816643      0.0000000000      629.9999999999
   1836  -0.68000      0.0000000000    -16.789431      0.0000000000      629.9999999999
   1846  -0.67900      0.0000000000    -16.762220      0.0000000000      629.9999999999
   1856  -0.67800      0.0000000000    -16.735009      0.0000000000      629.9999999999
   1866  -0.67700      0.0000000000    -16.707797      0.0000000000      629.9999999999
   1876  -0.67600      0.0000000000    -16.680586      0.0000000000      629.9999999999
   1886  -0.67500      0.0000000000    -16.653374      0.0000000000      629.9999999999
   1896  -0.67400      0.0000000000    -16.626163      0.0000000000      629.9999999999
   1906  -0.67300      0.0000000000    -16.598952      0.0000000000      629.9999999999
   1916  -0.67200      0.0000000000    -16.571740      0.0000000000      629.9999999999
   1926  -0.67100      0.0000000000    -16.544529      0.0000000000      629.9999999999
   1936  -0.67000      0.0000000000    -16.517317      0.0000000000      629.9999999999
   1946  -0.66900      0.0000000000    -16.490106      0.0000000000      629.9999999999
   1956  -0.66800      0.0000000000    -16.462895      0.0000000000      629.9999999999
   1966  -0.66700      0.0000000000    -16.435683      0.0000000000      629.9999999999
   1976  -0.66600      0.0000000000    -16.408472      0.0000000000      629.9999999999
   1986  -0.66500      0.0000000000    -16.381260      0.0000000000      629.9999999999
   1996  -0.66400      0.0000000000    -16.354049      0.0000000000      629.9999999999
   2006  -0.66300      0.0000000000    -16.326838      0.0000000000      629.9999999999
   2016  -0.66200      0.0000000000    -16.299626      0.0000000000      629.9999999999
   2026  -0.66100      0.0000000000    -16.272415      0.0000000000      629.9999999999
   2036  -0.66000      0.0000000000    -16.245204      0.0000000000      629.9999999999
   2046  -0.65900      0.0000000000    -16.217992      0.0000000000      629.9999999999
   2056  -0.65800      0.0000000000    -16.190781      0.0000000000      629.9999999999
   2066  -0.65700      0.0000000000    -16.163569      0.0000000000      629.9999999999
   2076  -0.65600      0.0000000000    -16.136358      0.0000000000      629.9999999999
   2086  -0.65500      0.0000000000    -16.109147      0.0000000000      629.9999999999
   2096  -0.65400      0.0000000000    -16.081935      0.0000000000      629.9999999999
   2106  -0.65300      0.0000000000    -16.054724      0.0000000000      629.9999999999
   2116  -0.65200      0.0000000000    -16.027512      0.0000000000      629.9999999999
   2126  -0.65100      0.0000000000    -16.000301      0.0000000000      629.9999999999
   2136  -0.65000      0.0000000000    -15.973090      0.0000000000      629.9999999999
   2146  -0.64900      0.0000000000    -15.945878      0.0000000000      629.9999999999
   2156  -0.64800      0.0000000000    -15.918667      0.0000000000      629.9999999999
   2166  -0.64700      0.0000000000    -15.891455      0.0000000000      629.9999999999
   2176  -0.64600      0.0000000000    -15.864244      0.0000000000      629.9999999999
   2186  -0.64500      0.0000000000    -15.837033      0.0000000000      629.9999999999
   2196  -0.64400      0.0000000000    -15.809821      0.0000000000      629.9999999999
   2206  -0.64300      0.0000000000    -15.782610      0.0000000000      629.9999999999
   2216  -0.64200      0.0000000000    -15.755398      0.0000000000      629.9999999999
   2226  -0.64100      0.0000000000    -15.728187      0.0000000000      629.9999999999
   2236  -0.64000      0.0000000000    -15.700976      0.0000000000      629.9999999999
   2246  -0.63900      0.0000000000    -15.673764      0.0000000000      629.9999999999
   2256  -0.63800      0.0000000000    -15.646553      0.0000000000      629.9999999999
   2266  -0.63700      0.0000000000    -15.619341      0.0000000000      629.9999999999
   2276  -0.63600      0.0000000000    -15.592130      0.0000000000      629.9999999999
   2286  -0.63500      0.0000000000    -15.564919      0.0000000000      629.9999999999
   2296  -0.63400      0.0000000000    -15.537707      0.0000000000      629.9999999999
   2306  -0.63300      0.0000000000    -15.510496      0.0000000000      629.9999999999
   2316  -0.63200      0.0000000000    -15.483284      0.0000000000      629.9999999999
   2326  -0.63100      0.0000000000    -15.456073      0.0000000000      629.9999999999
   2336  -0.63000      0.0000000000    -15.428862      0.0000000000      629.9999999999
   2346  -0.62900      0.0000000000    -15.401650      0.0000000000      629.9999999999
   2356  -0.62800      0.0000000000    -15.374439      0.0000000000      629.9999999999
   2366  -0.62700      0.0000000000    -15.347227      0.0000000000      629.9999999999
   2376  -0.62600      0.0000000000    -15.320016      0.0000000000      629.9999999999
   2386  -0.62500      0.0000000000    -15.292805      0.0000000000      629.9999999999
   2396  -0.62400      0.0000000000    -15.265593      0.0000000000      629.9999999999
   2406  -0.62300      0.0000000000    -15.238382      0.0000000000      629.9999999999
   2416  -0.62200      0.0000000000    -15.211170      0.0000000000      629.9999999999
   2426  -0.62100      0.0000000000    -15.183959      0.0000000000      629.9999999999
   2436  -0.62000      0.0000000000    -15.156748      0.0000000000      629.9999999999
   2446  -0.61900      0.0000000000    -15.129536      0.0000000000      629.9999999999
   2456  -0.61800      0.0000000000    -15.102325      0.0000000000      629.9999999999
   2466  -0.61700      0.0000000000    -15.075113      0.0000000000      629.9999999999
   2476  -0.61600      0.0000000000    -15.047902      0.0000000000      629.9999999999
   2486  -0.61500      0.0000000000    -15.020691      0.0000000000      629.9999999999
   2496  -0.61400      0.0000000000    -14.993479      0.0000000000      629.9999999999
   2506  -0.61300      0.0000000000    -14.966268      0.0000000000      629.9999999999
   2516  -0.61200      0.0000000000    -14.939056      0.0000000000      629.9999999999
   2526  -0.61100      0.0000000000    -14.911845      0.0000000000      629.9999999999
   2536  -0.61000      0.0000000000    -14.884634      0.0000000000      629.9999999999
   2546  -0.60900      0.0000000000    -14.857422      0.0000000000      629.9999999999
   2556  -0.60800      0.0000000000    -14.830211      0.0000000000      629.9999999999
   2566  -0.60700      0.0000000000    -14.803000      0.0000000000      629.9999999999
   2576  -0.60600      0.0000000000    -14.775788      0.0000000000      629.9999999999
   2586  -0.60500      0.0000000000    -14.748577      0.0000000000      629.9999999999
   2596  -0.60400      0.0000000000    -14.721365      0.0000000000      629.9999999999
   2606  -0.60300      0.0000000000    -14.694154      0.0000000000      629.9999999999
   2616  -0.60200      0.0000000000    -14.666943      0.0000000000      629.9999999999
   2626  -0.60100      0.0000000000    -14.639731      0.0000000000      629.9999999999
   2636  -0.60000      0.0000000000    -14.612520      0.0000000000      629.9999999999
   2646  -0.59900      0.0000000000    -14.585308      0.0000000000      629.9999999999
   2656  -0.59800      0.0000000000    -14.558097      0.0000000000      629.9999999999
   2666  -0.59700      0.0000000000    -14.530886      0.0000000000      629.9999999999
   2676  -0.59600      0.0000000000    -14.503674      0.0000000000      629.9999999999
   2686  -0.59500      0.0000000000    -14.476463      0.0000000000      629.9999999999
   2696  -0.59400      0.0000000000    -14.449251      0.0000000000      629.9999999999
   2706  -0.59300      0.0000000000    -14.422040      0.0000000000      629.9999999999
   2716  -0.59200      0.0000000000    -14.394829      0.0000000000      629.9999999999
   2726  -0.59100      0.0000000000    -14.367617      0.0000000000      629.9999999999
   2736  -0.59000      0.0000000000    -14.340406      0.0000000000      629.9999999999
   2746  -0.58900      0.0000000000    -14.313194      0.0000000000      629.9999999999
   2756  -0.58800      0.0000000000    -14.285983      0.0000000000      629.9999999999
   2766  -0.58700      0.0000000000    -14.258772      0.0000000000      629.9999999999
   2776  -0.58600      0.0000000000    -14.231560      0.0000000000      629.9999999999
   2786  -0.58500      0.0000000000    -14.204349      0.0000000000      629.9999999999
   2796  -0.58400      0.0000000000    -14.177137      0.0000000000      629.9999999999
   2806  -0.58300      0.0000000000    -14.149926      0.0000000000      629.9999999999
   2816  -0.58200      0.0000000000    -14.122715      0.0000000000      629.9999999999
   2826  -0.58100      0.0000000000    -14.095503      0.0000000000      629.9999999999
   2836  -0.58000      0.0000000000    -14.068292      0.0000000000      629.9999999999
   2846  -0.57900      0.0000000000    -14.041080      0.0000000000      629.9999999999
   2856  -0.57800      0.0000000000    -14.013869      0.0000000000      629.9999999999
   2866  -0.57700      0.0000000000    -13.986658      0.0000000000      629.9999999999
   2876  -0.57600      0.0000000000    -13.959446      0.0000000000      629.9999999999
   2886  -0.57500      0.0000000000    -13.932235      0.0000000000      629.9999999999
   2896  -0.57400      0.0000000000    -13.905023      0.0000000000      629.9999999999
   2906  -0.57300      0.0000000000    -13.877812      0.0000000000      629.9999999999
   2916  -0.57200      0.0000000000    -13.850601      0.0000000000      629.9999999999
   2926  -0.57100      0.0000000000    -13.823389      0.0000000000      629.9999999999
   2936  -0.57000      0.0000000000    -13.796178      0.0000000000      629.9999999999
   2946  -0.56900      0.0000000000    -13.768966      0.0000000000      629.9999999999
   2956  -0.56800      0.0000000000    -13.741755      0.0000000000      629.9999999999
   2966  -0.56700      0.0000000000    -13.714544      0.0000000000      629.9999999999
   2976  -0.56600      0.0000000000    -13.687332      0.0000000000      629.9999999999
   2986  -0.56500      0.0000000000    -13.660121      0.0000000000      629.9999999999
   2996  -0.56400      0.0000000000    -13.632909      0.0000000000      629.9999999999
   3006  -0.56300      0.0000000000    -13.605698      0.0000000000      629.9999999999
   3016  -0.56200      0.0000000000    -13.578487      0.0000000000      629.9999999999
   3026  -0.56100      0.0000000000    -13.551275      0.0000000000      629.9999999999
   3036  -0.56000      0.0000000000    -13.524064      0.0000000000      629.9999999999
   3046  -0.55900      0.0000000000    -13.496852      0.0000000000      629.9999999999
   3056  -0.55800      0.0000000000    -13.469641      0.0000000000      629.9999999999
   3066  -0.55700      0.0000000000    -13.442430      0.0000000000      629.9999999999
   3076  -0.55600      0.0000000000    -13.415218      0.0000000000      629.9999999999
   3086  -0.55500      0.0000000000    -13.388007      0.0000000000      629.9999999999
   3096  -0.55400      0.0000000000    -13.360796      0.0000000000      629.9999999999
   3106  -0.55300      0.0000000000    -13.333584      0.0000000000      629.9999999999
   3116  -0.55200      0.0000000000    -13.306373      0.0000000000      629.9999999999
   3126  -0.55100      0.0000000000    -13.279161      0.0000000000      629.9999999999
   3136  -0.55000      0.0000000000    -13.251950      0.0000000000      629.9999999999
   3146  -0.54900      0.0000000000    -13.224739      0.0000000000      629.9999999999
   3156  -0.54800      0.0000000000    -13.197527      0.0000000000      629.9999999999
   3166  -0.54700      0.0000000000    -13.170316      0.0000000000      629.9999999999
   3176  -0.54600      0.0000000000    -13.143104      0.0000000000      629.9999999999
   3186  -0.54500      0.0000000000    -13.115893      0.0000000000      629.9999999999
   3196  -0.54400      0.0000000000    -13.088682      0.0000000000      629.9999999999
   3206  -0.54300      0.0000000000    -13.061470      0.0000000000      629.9999999999
   3216  -0.54200      0.0000000000    -13.034259      0.0000000000      629.9999999999
   3226  -0.54100      0.0000000000    -13.007047      0.0000000000      629.9999999999
   3236  -0.54000      0.0000000000    -12.979836      0.0000000000      629.9999999999
   3246  -0.53900      0.0000000000    -12.952625      0.0000000000      629.9999999999
   3256  -0.53800      0.0000000000    -12.925413      0.0000000000      629.9999999999
   3266  -0.53700      0.0000000000    -12.898202      0.0000000000      629.9999999999
   3276  -0.53600      0.0000000000    -12.870990      0.0000000000      629.9999999999
   3286  -0.53500      0.0000000000    -12.843779      0.0000000000      629.9999999999
   3296  -0.53400      0.0000000000    -12.816568      0.0000000000      629.9999999999
   3306  -0.53300      0.0000000000    -12.789356      0.0000000000      629.9999999999
   3316  -0.53200      0.0000000000    -12.762145      0.0000000000      629.9999999999
   3326  -0.53100      0.0000000000    -12.734933      0.0000000000      629.9999999999
   3336  -0.53000      0.0000000000    -12.707722      0.0000000000      629.9999999999
   3346  -0.52900      0.0000000000    -12.680511      0.0000000000      629.9999999999
   3356  -0.52800      0.0000000000    -12.653299      0.0000000000      629.9999999999
   3366  -0.52700      0.0000000000    -12.626088      0.0000000000      629.9999999999
   3376  -0.52600      0.0000000000    -12.598876      0.0000000000      629.9999999999
   3386  -0.52500      0.0000000000    -12.571665      0.0000000000      629.9999999999
   3396  -0.52400      0.0000000000    -12.544454      0.0000000000      629.9999999999
   3406  -0.52300      0.0000000000    -12.517242      0.0000000000      629.9999999999
   3416  -0.52200      0.0000000000    -12.490031      0.0000000000      629.9999999999
   3426  -0.52100      0.0000000000    -12.462819      0.0000000000      629.9999999999
   3436  -0.52000      0.0000000000    -12.435608      0.0000000000      629.9999999999
   3446  -0.51900      0.0000000000    -12.408397      0.0000000000      629.9999999999
   3456  -0.51800      0.0000000000    -12.381185      0.0000000000      629.9999999999
   3466  -0.51700      0.0000000000    -12.353974      0.0000000000      629.9999999999
   3476  -0.51600      0.0000000000    -12.326762      0.0000000000      629.9999999999
   3486  -0.51500      0.0000000000    -12.299551      0.0000000000      629.9999999999
   3496  -0.51400      0.0000000000    -12.272340      0.0000000000      629.9999999999
   3506  -0.51300      0.0000000000    -12.245128      0.0000000000      629.9999999999
   3516  -0.51200      0.0000000000    -12.217917      0.0000000000      629.9999999999
   3526  -0.51100      0.0000000000    -12.190705      0.0000000000      629.9999999999
   3536  -0.51000      0.0000000000    -12.163494      0.0000000000      629.9999999999
   3546  -0.50900      0.0000000000    -12.136283      0.0000000000      629.9999999999
   3556  -0.50800      0.0000000000    -12.109071      0.0000000000      629.9999999999
   3566  -0.50700      0.0000000000    -12.081860      0.0000000000      629.9999999999
   3576  -0.50600      0.0000000000    -12.054648      0.0000000000      629.9999999999
   3586  -0.50500      0.0000000000    -12.027437      0.0000000000      629.9999999999
   3596  -0.50400      0.0000000000    -12.000226      0.0000000000      629.9999999999
   3606  -0.50300      0.0000000000    -11.973014      0.0000000000      629.9999999999
   3616  -0.50200      0.0000000000    -11.945803      0.0000000000      629.9999999999
   3626  -0.50100      0.0000000000    -11.918592      0.0000000000      629.9999999999
   3636  -0.50000      0.0000000000    -11.891380      0.0000000000      629.9999999999
   3646  -0.49900      0.0000000000    -11.864169      0.0000000000      629.9999999999
   3656  -0.49800      0.0000000000    -11.836957      0.0000000000      629.9999999999
   3666  -0.49700      0.0000000000    -11.809746      0.0000000000      629.9999999999
   3676  -0.49600      0.0000000000    -11.782535      0.0000000000      629.9999999999
   3686  -0.49500      0.0000000000    -11.755323      0.0000000000      629.9999999999
   3696  -0.49400      0.0000000000    -11.728112      0.0000000000      629.9999999999
   3706  -0.49300      0.0000000000    -11.700900      0.0000000000      629.9999999999
   3716  -0.49200      0.0000000000    -11.673689      0.0000000000      629.9999999999
   3726  -0.49100      0.0000000000    -11.646478      0.0000000000      629.9999999999
   3736  -0.49000      0.0000000000    -11.619266      0.0000000000      629.9999999999
   3746  -0.48900      0.0000000000    -11.592055      0.0000000000      629.9999999999
   3756  -0.48800      0.0000000000    -11.564843      0.0000000000      629.9999999999
   3766  -0.48700      0.0000000000    -11.537632      0.0000000000      629.9999999999
   3776  -0.48600      0.0000000000    -11.510421      0.0000000000      629.9999999999
