 iteration, iteration_ionic, iteration_electronic
       111        18         6
 Ionic System
  (natm)
        63
  (pos)
  0.6249999999999999D-01  0.6249999999999999D-01  0.6249999999999999D-01
  0.4400704922715962D+00  0.4400715637328172D+00  0.4400722528191575D+00
  0.6249999999999999D-01  0.3124999999999999D+00  0.3124999999999999D+00
  0.4375000000000000D+00  0.1875000000000000D+00  0.1875000000000000D+00
  0.3124999999999999D+00  0.6249999999999999D-01  0.3124999999999999D+00
  0.1875000000000000D+00  0.4375000000000000D+00  0.1875000000000000D+00
  0.3124999999999999D+00  0.3124999999999999D+00  0.6249999999999999D-01
  0.1875000000000000D+00  0.1875000000000000D+00  0.4375000000000000D+00
  0.6249999999999999D-01  0.6249999999999999D-01  0.5624999999999999D+00
  0.4375000000000000D+00  0.4375000000000000D+00  0.9374999999999999D+00
  0.6249999999999999D-01  0.3124999999999999D+00  0.8124999999999999D+00
  0.4375000000000000D+00  0.1875000000000000D+00  0.6874999999999999D+00
  0.3124999999999999D+00  0.6249999999999999D-01  0.8124999999999999D+00
  0.1875000000000000D+00  0.4375000000000000D+00  0.6874999999999999D+00
  0.3124999999999999D+00  0.3124999999999999D+00  0.5624999999999999D+00
  0.1875000000000000D+00  0.1875000000000000D+00  0.9374999999999999D+00
  0.6249999999999999D-01  0.5624999999999999D+00  0.6249999999999999D-01
  0.4375000000000000D+00  0.9374999999999999D+00  0.4375000000000000D+00
  0.6249999999999999D-01  0.8124999999999999D+00  0.3124999999999999D+00
  0.4375000000000000D+00  0.6874999999999999D+00  0.1875000000000000D+00
  0.3124999999999999D+00  0.5624999999999999D+00  0.3124999999999999D+00
  0.1875000000000000D+00  0.9374999999999999D+00  0.1875000000000000D+00
  0.3124999999999999D+00  0.8124999999999999D+00  0.6249999999999999D-01
  0.1875000000000000D+00  0.6874999999999999D+00  0.4375000000000000D+00
  0.6249999999999999D-01  0.5624999999999999D+00  0.5624999999999999D+00
  0.4375000000000000D+00  0.9374999999999999D+00  0.9374999999999999D+00
  0.6249999999999999D-01  0.8124999999999999D+00  0.8124999999999999D+00
