  No.   E(hr.)        dos(hr.)         E(eV)          dos(eV)              sum
      6  -0.86200      0.0000000000    -21.554147      0.0000000000        0.0000000000
     16  -0.86100      0.0000000548    -21.526935      0.0000000020        0.0000000000
     26  -0.86000      0.0000453594    -21.499724      0.0000016669        0.0000000096
     36  -0.85900      0.0144494929    -21.472513      0.0005310089        0.0000034326
     46  -0.85800      1.8063540630    -21.445301      0.0663822633        0.0004928348
     56  -0.85700     91.0647655981    -21.418090      3.3465671918        0.0294080191
     66  -0.85600   1918.9035634225    -21.390879     70.5183796100        0.7630452350
     76  -0.85500  17611.8865874481    -21.363667    647.2246587556        9.1091627287
     86  -0.85400  73258.7745811458    -21.336456   2692.2093294043       53.4944580475
     96  -0.85300 143311.7447723709    -21.309244   5266.6075633304      167.9270013645
    106  -0.85200 141617.5967218755    -21.282033   5204.3487934696      317.7017855738
    116  -0.85100  93549.5041787660    -21.254822   3437.8796171679      432.4496482124
    126  -0.85000  77747.7340703085    -21.227610   2857.1754878630      513.7591477166
    136  -0.84900  92108.1518584429    -21.200399   3384.9109156585      597.9687292346
    146  -0.84800 117786.8379377390    -21.173187   4328.5848799691      703.6935695263
    156  -0.84700 138869.7910641427    -21.145976   5103.3688348307      834.5571117589
    166  -0.84600 133252.9887682298    -21.118765   4896.9552327887      972.6988329124
    176  -0.84500 118936.1552417436    -21.091553   4370.8214964833     1096.7964596091
    186  -0.84400 131097.7047364214    -21.064342   4817.7500343517     1220.2881258905
    196  -0.84300 148309.5273120238    -21.037130   5450.2726171962     1362.1214495455
    206  -0.84200 139887.5859180387    -21.009919   5140.7720922118     1508.4526927214
    216  -0.84100 106604.8877703704    -20.982708   3917.6559402804     1630.8468592144
    226  -0.84000  94639.8006019377    -20.955496   3477.9472571068     1726.5851450061
    236  -0.83900 134648.7525913550    -20.928285   4948.2485885369     1840.5725975267
    246  -0.83800 148461.7211677086    -20.901073   5455.8656361963     1989.5890323439
    256  -0.83700  82827.6195325600    -20.873862   3043.8577673847     2106.0421127571
    266  -0.83600  21031.5429992055    -20.846651    772.8946682218     2151.1551760831
    276  -0.83500   2318.8209952435    -20.819439     85.2150688065     2159.3149415756
    286  -0.83400    107.0585352756    -20.792228      3.9343271725     2159.9764941990
    296  -0.83300      2.0079070895    -20.765016      0.0737891977     2159.9996591966
    306  -0.83200      0.0149290906    -20.737805      0.0005486338     2159.9999979835
    316  -0.83100      0.0000431901    -20.710594      0.0000015872     2159.9999999950
    326  -0.83000      0.0000000480    -20.683382      0.0000000018     2159.9999999998
    336  -0.82900      0.0000000000    -20.656171      0.0000000000     2159.9999999998
    346  -0.82800      0.0000000000    -20.628959      0.0000000000     2159.9999999998
    356  -0.82700      0.0000000000    -20.601748      0.0000000000     2159.9999999998
    366  -0.82600      0.0000000000    -20.574537      0.0000000000     2159.9999999998
    376  -0.82500      0.0000000000    -20.547325      0.0000000000     2159.9999999998
    386  -0.82400      0.0000000000    -20.520114      0.0000000000     2159.9999999998
    396  -0.82300      0.0000000000    -20.492902      0.0000000000     2159.9999999998
    406  -0.82200      0.0000000000    -20.465691      0.0000000000     2159.9999999998
    416  -0.82100      0.0000000000    -20.438480      0.0000000000     2159.9999999998
    426  -0.82000      0.0000000000    -20.411268      0.0000000000     2159.9999999998
    436  -0.81900      0.0000000000    -20.384057      0.0000000000     2159.9999999998
    446  -0.81800      0.0000000000    -20.356845      0.0000000000     2159.9999999998
    456  -0.81700      0.0000000000    -20.329634      0.0000000000     2159.9999999998
    466  -0.81600      0.0000000000    -20.302423      0.0000000000     2159.9999999998
    476  -0.81500      0.0000000000    -20.275211      0.0000000000     2159.9999999998
    486  -0.81400      0.0000000000    -20.248000      0.0000000000     2159.9999999998
    496  -0.81300      0.0000000000    -20.220788      0.0000000000     2159.9999999998
    506  -0.81200      0.0000000000    -20.193577      0.0000000000     2159.9999999998
    516  -0.81100      0.0000000000    -20.166366      0.0000000000     2159.9999999998
    526  -0.81000      0.0000000000    -20.139154      0.0000000000     2159.9999999998
    536  -0.80900      0.0000000000    -20.111943      0.0000000000     2159.9999999998
    546  -0.80800      0.0000000000    -20.084731      0.0000000000     2159.9999999998
    556  -0.80700      0.0000000000    -20.057520      0.0000000000     2159.9999999998
    566  -0.80600      0.0000000000    -20.030309      0.0000000000     2159.9999999998
    576  -0.80500      0.0000000000    -20.003097      0.0000000000     2159.9999999998
    586  -0.80400      0.0000000000    -19.975886      0.0000000000     2159.9999999998
    596  -0.80300      0.0000000000    -19.948675      0.0000000000     2159.9999999998
    606  -0.80200      0.0000000000    -19.921463      0.0000000000     2159.9999999998
    616  -0.80100      0.0000000000    -19.894252      0.0000000000     2159.9999999998
    626  -0.80000      0.0000000000    -19.867040      0.0000000000     2159.9999999998
    636  -0.79900      0.0000000000    -19.839829      0.0000000000     2159.9999999998
    646  -0.79800      0.0000000000    -19.812618      0.0000000000     2159.9999999998
    656  -0.79700      0.0000000000    -19.785406      0.0000000000     2159.9999999998
    666  -0.79600      0.0000000000    -19.758195      0.0000000000     2159.9999999998
    676  -0.79500      0.0000000000    -19.730983      0.0000000000     2159.9999999998
    686  -0.79400      0.0000000000    -19.703772      0.0000000000     2159.9999999998
    696  -0.79300      0.0000000000    -19.676561      0.0000000000     2159.9999999998
    706  -0.79200      0.0000000000    -19.649349      0.0000000000     2159.9999999998
    716  -0.79100      0.0000000000    -19.622138      0.0000000000     2159.9999999998
    726  -0.79000      0.0000000000    -19.594926      0.0000000000     2159.9999999998
    736  -0.78900      0.0000000000    -19.567715      0.0000000000     2159.9999999998
    746  -0.78800      0.0000000000    -19.540504      0.0000000000     2159.9999999998
    756  -0.78700      0.0000000000    -19.513292      0.0000000000     2159.9999999998
    766  -0.78600      0.0000000000    -19.486081      0.0000000000     2159.9999999998
    776  -0.78500      0.0000000000    -19.458869      0.0000000000     2159.9999999998
    786  -0.78400      0.0000000000    -19.431658      0.0000000000     2159.9999999998
    796  -0.78300      0.0000000000    -19.404447      0.0000000000     2159.9999999998
    806  -0.78200      0.0000000000    -19.377235      0.0000000000     2159.9999999998
    816  -0.78100      0.0000000000    -19.350024      0.0000000000     2159.9999999998
    826  -0.78000      0.0000000000    -19.322812      0.0000000000     2159.9999999998
