 ===== energy eigen values =====
 ik =    1 (  0.500000  0.500000  0.500000 )
     -0.85352149     -0.85352149     -0.85352148     -0.85352148     -0.85352147
     -0.85352147     -0.85352147     -0.85352146     -0.85352145     -0.85352145
     -0.85352144     -0.85352144     -0.85352144     -0.85352143     -0.85352143
     -0.85352143     -0.85352142     -0.85352142     -0.85352142     -0.85352141
     -0.85352141     -0.85352140     -0.85352139     -0.85352139     -0.85316988
     -0.85316988     -0.85316987     -0.85316987     -0.85316986     -0.85316986
     -0.85316986     -0.85316986     -0.85316986     -0.85316985     -0.85316985
     -0.85316985     -0.85316984     -0.85316984     -0.85316984     -0.85316983
     -0.85316983     -0.85316983     -0.85316983     -0.85316982     -0.85316982
     -0.85316982     -0.85316981     -0.85316981     -0.85294154     -0.85294154
     -0.85294153     -0.85294153     -0.85294153     -0.85294152     -0.85294152
     -0.85294152     -0.85294152     -0.85294152     -0.85294151     -0.85294150
     -0.85294150     -0.85294150     -0.85294150     -0.85294150     -0.85294149
     -0.85294149     -0.85294149     -0.85294148     -0.85294148     -0.85294147
     -0.85294147     -0.85294147     -0.85273551     -0.85273551     -0.85273551
     -0.85273550     -0.85273550     -0.85273549     -0.85273549     -0.85273549
     -0.85273549     -0.85273548     -0.85273548     -0.85273548     -0.85273548
     -0.85273547     -0.85273546     -0.85273546     -0.85273546     -0.85273545
     -0.85273545     -0.85273544     -0.85273544     -0.85273544     -0.85273544
     -0.85273543     -0.85273238     -0.85273238     -0.85273238     -0.85273237
     -0.85273237     -0.85273237     -0.85273236     -0.85273236     -0.85273236
     -0.85273235     -0.85273235     -0.85273235     -0.85273235     -0.85273235
     -0.85273235     -0.85273234     -0.85273234     -0.85273233     -0.85273233
     -0.85273233     -0.85273233     -0.85273232     -0.85273232     -0.85273232
     -0.85255210     -0.85255210     -0.85255209     -0.85255209     -0.85255209
     -0.85255209     -0.85255208     -0.85255208     -0.85255208     -0.85255207
     -0.85255207     -0.85255207     -0.85255207     -0.85255207     -0.85255206
     -0.85255206     -0.85255206     -0.85255205     -0.85255205     -0.85255205
