 ===== energy eigen values =====
 ik =    1 (  0.500000  0.500000  0.500000 )
     -0.84205243     -0.84205239     -0.84205238     -0.84205231     -0.84205230
     -0.84205227     -0.84205221     -0.84205214     -0.84056958     -0.84056956
     -0.84056951     -0.84056946     -0.83767141     -0.83767139     -0.83767129
     -0.83767126     -0.83767123     -0.83767120     -0.83767113     -0.83767104
     -0.83239924     -0.83239921     -0.83239911     -0.83239909     -0.83239905
     -0.83239903     -0.83239895     -0.83239886     -0.83110393     -0.83110390
     -0.83110385     -0.83110380     -0.82854936     -0.82854932     -0.82854931
     -0.82854925     -0.82854923     -0.82854921     -0.82854915     -0.82854908
     -0.36889367     -0.36889350     -0.36889349     -0.36889333     -0.27380528
     -0.27380527     -0.27380523     -0.27380520     -0.08992570     -0.08992562
     -0.08992557     -0.08992555     -0.08992549     -0.08992545     -0.08992543
     -0.08992538     -0.06058138     -0.06058130     -0.06058128     -0.06058125
      0.06170674      0.06170675      0.06170676      0.06170677      0.06170677
      0.06170678      0.06170680      0.06170681      0.16090469      0.16090487
      0.16090490      0.16090508      0.23974270      0.23974277      0.23974281
      0.23974286      0.25189178      0.25189211      0.25189213      0.25189248
      0.26564156      0.26564157      0.26564161      0.26564164      0.26564164
      0.26564166      0.26564168      0.26564174      0.31036370      0.31036371
      0.31036374      0.31036376      0.31036378      0.31036380      0.31036385
      0.31036387      0.46302844      0.46302850      0.46302854      0.46302857
      0.52936811      0.52936827      0.52936827      0.52936846      0.53727942
      0.53727945      0.53727957      0.53727958      0.53727962      0.53727963
      0.53727971      0.53727974      0.57147414      0.57147415      0.57147423
      0.57147427      0.57147429      0.57147432      0.57147437      0.57147438
      0.65264169      0.65264220      0.65264224      0.65264282      0.65424082
      0.65424087      0.65424088      0.65424090      0.69013137      0.69013138
      0.69013139      0.69013141      0.70160958      0.70160963      0.70160965
      0.70160966      0.70160968      0.70160970      0.70160973      0.70160974
      0.75342631      0.75342632      0.75342637      0.75342638      0.75342641
      0.75342642      0.75342646      0.75342648      0.83468635      0.83468643
      0.83468646      0.83468654      0.83468662      0.83468664      0.83468666
      0.83468673      0.83484618      0.83484623      0.83484627      0.83484629
      0.83585373      0.83585379      0.83585380      0.83585388      0.83955985
      0.83955995      0.83956002      0.83956011      0.83956011      0.83956021
      0.83956025      0.83956033      0.83961233      0.83961268      0.83961270
      0.83961309      1.00306077      1.00315270      1.00337488      1.00420065
      1.04088825      1.04101806      1.04136992      1.04195560      1.04291384
      1.04606549      1.05228817      1.05751884      1.06249065      1.06462427
      1.06540809      1.06544883
 ===== occupations =====
 ik =    1 (  0.500000  0.500000  0.500000 )
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      1.00000000      1.00000000      1.00000000      1.00000000
      1.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000      0.00000000      0.00000000      0.00000000
      0.00000000      0.00000000
